"",BBK01.CEB5X0,BBK01.CEB5X0_FLAGS
"",Shares and other equity debtor: Other financial intermediaries                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:26,
1991-01,132.3,
1991-04,140.6,
1991-07,144.9,
1991-10,145.4,
1992-01,157.3,
1992-04,161.6,
1992-07,156.7,
1992-10,157.8,
1993-01,172.4,
1993-04,181.4,
1993-07,193.8,
1993-10,213.2,
1994-01,221.6,
1994-04,225.5,
1994-07,229.1,
1994-10,232.5,
1995-01,234.8,
1995-04,245.6,
1995-07,257.3,
1995-10,268.9,
1996-01,288.3,
1996-04,302.1,
1996-07,315.2,
1996-10,332.3,
1997-01,370.3,
1997-04,406.4,
1997-07,432.2,
1997-10,445.7,
1998-01,502.9,
1998-04,537.9,
1998-07,515.3,
1998-10,561.6,
1999-01,622.6,
1999-04,662.6,
1999-07,661.3,
1999-10,774.2,
2000-01,828.6,
2000-04,824.4,
2000-07,852.2,
2000-10,827.1,
2001-01,797.8,
2001-04,816.1,
2001-07,743.5,
2001-10,803.5,
2002-01,816.8,
2002-04,773.3,
2002-07,730.2,
2002-10,741.0,
2003-01,741.2,
2003-04,793.8,
2003-07,800.7,
2003-10,815.1,
2004-01,837.2,
2004-04,833.9,
2004-07,832.4,
2004-10,848.5,
2005-01,868.9,
2005-04,908.8,
2005-07,950.2,
2005-10,957.9,
2006-01,983.9,
2006-04,964.9,
2006-07,1010.3,
2006-10,1028.6,
2007-01,1049.1,
2007-04,1077.9,
2007-07,1076.9,
2007-10,1074.9,
2008-01,1009.9,
2008-04,1011.0,
2008-07,981.1,
2008-10,926.7,
2009-01,917.7,
2009-04,958.5,
2009-07,1021.7,
2009-10,1062.8,
2010-01,1105.4,
2010-04,1106.1,
2010-07,1133.0,
2010-10,1154.8,
2011-01,1161.5,
2011-04,1166.2,
2011-07,1126.6,
2011-10,1158.4,
2012-01,1221.9,
2012-04,1224.1,
2012-07,1289.1,
2012-10,1330.9,
2013-01,1375.9,
2013-04,1371.2,
2013-07,1414.7,
2013-10,1451.8,
2014-01,1497.0,
