"",BBK01.OEAC16S,BBK01.OEAC16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:21,
2002-01,1.628,
2002-04,1.627,
2002-07,1.653,
2002-10,1.505,
2003-01,1.489,
2003-04,1.528,
2003-07,1.488,
2003-10,1.393,
2004-01,1.451,
2004-04,1.446,
2004-07,1.428,
2004-10,1.289,
2005-01,1.354,
2005-04,1.296,
2005-07,1.309,
2005-10,1.214,
2006-01,1.199,
2006-04,1.180,
2006-07,1.138,
2006-10,0.993,
2007-01,1.005,
2007-04,1.013,
2007-07,1.012,
2007-10,0.995,
2008-01,1.046,
2008-04,1.011,
2008-07,0.979,
2008-10,0.948,
2009-01,1.019,
2009-04,1.049,
2009-07,1.102,
2009-10,0.972,
2010-01,1.001,
2010-04,1.016,
2010-07,0.942,
2010-10,0.872,
2011-01,0.884,
2011-04,0.963,
2011-07,0.916,
2011-10,0.911,
2012-01,0.922,
2012-04,0.932,
2012-07,0.916,
2012-10,0.895,
2013-01,0.886,
2013-04,0.914,
2013-07,0.916,
2013-10,0.818,
2014-01,0.842,
2014-04,0.874,
2014-07,0.863,
