"",BBK01.OELL01J,BBK01.OELL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:39,
2002-01,1.290,
2002-04,1.286,
2002-07,1.282,
2002-10,1.344,
2003-01,1.357,
2003-04,1.341,
2003-07,1.354,
2003-10,1.367,
2004-01,1.374,
2004-04,1.369,
2004-07,1.367,
2004-10,1.442,
2005-01,1.440,
2005-04,1.429,
2005-07,1.421,
2005-10,1.462,
2006-01,1.519,
2006-04,1.526,
2006-07,1.521,
2006-10,1.512,
2007-01,1.522,
2007-04,1.537,
2007-07,1.557,
2007-10,1.587,
2008-01,1.597,
2008-04,1.616,
2008-07,1.535,
2008-10,1.595,
2009-01,1.573,
2009-04,1.573,
2009-07,1.534,
2009-10,1.586,
2010-01,1.607,
2010-04,1.619,
2010-07,1.612,
2010-10,1.630,
2011-01,1.632,
2011-04,1.646,
2011-07,1.647,
2011-10,1.679,
2012-01,1.676,
2012-04,1.717,
2012-07,1.705,
2012-10,1.729,
2013-01,1.734,
2013-04,1.747,
2013-07,1.746,
2013-10,1.792,
2014-01,1.492,
2014-04,1.514,
2014-07,1.512,
