"",BBK01.OELB10P,BBK01.OELB10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:47,
2002-01,0.563,
2002-04,0.545,
2002-07,0.545,
2002-10,0.523,
2003-01,0.512,
2003-04,0.517,
2003-07,0.492,
2003-10,0.476,
2004-01,0.487,
2004-04,0.476,
2004-07,0.470,
2004-10,0.445,
2005-01,0.429,
2005-04,0.400,
2005-07,0.398,
2005-10,0.378,
2006-01,0.362,
2006-04,0.402,
2006-07,0.368,
2006-10,0.377,
2007-01,0.371,
2007-04,0.384,
2007-07,0.369,
2007-10,0.348,
2008-01,0.324,
2008-04,0.351,
2008-07,0.357,
2008-10,0.341,
2009-01,0.350,
2009-04,0.334,
2009-07,0.320,
2009-10,0.298,
2010-01,0.313,
2010-04,0.313,
2010-07,0.302,
2010-10,0.305,
2011-01,0.305,
2011-04,0.316,
2011-07,0.310,
2011-10,0.281,
2012-01,0.310,
2012-04,0.329,
2012-07,0.320,
2012-10,0.312,
2013-01,0.321,
2013-04,0.321,
2013-07,0.315,
2013-10,0.314,
2014-01,0.315,
2014-04,0.297,
2014-07,0.285,
