"",BBK01.CE3K0X,BBK01.CE3K0X_FLAGS
"",Net financial assets debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:31,
1991-01,-99.0,
1991-04,-108.7,
1991-07,-115.5,
1991-10,-6.8,
1992-01,-122.7,
1992-04,-128.7,
1992-07,-130.2,
1992-10,-12.6,
1993-01,-135.5,
1993-04,-8.8,
1993-07,-8.0,
1993-10,-8.8,
1994-01,-13.3,
1994-04,-13.7,
1994-07,-12.9,
1994-10,-18.2,
1995-01,-10.7,
1995-04,-12.9,
1995-07,-11.7,
1995-10,-17.7,
1996-01,-9.6,
1996-04,-9.4,
1996-07,-10.5,
1996-10,-16.6,
1997-01,-6.2,
1997-04,-12.2,
1997-07,-17.6,
1997-10,-26.1,
1998-01,-9.6,
1998-04,-17.8,
1998-07,-19.6,
1998-10,-27.6,
1999-01,-67.4,
1999-04,-59.4,
1999-07,-52.7,
1999-10,-62.3,
2000-01,-86.0,
2000-04,-86.9,
2000-07,-101.4,
2000-10,-155.4,
2001-01,-130.8,
2001-04,-134.5,
2001-07,-164.1,
2001-10,-168.1,
2002-01,-163.1,
2002-04,-189.7,
2002-07,-177.4,
2002-10,-202.6,
2003-01,-199.3,
2003-04,-193.1,
2003-07,-191.1,
2003-10,-185.6,
2004-01,-149.5,
2004-04,-149.2,
2004-07,-145.0,
2004-10,-149.9,
2005-01,-121.0,
2005-04,-135.0,
2005-07,-135.1,
2005-10,-152.4,
2006-01,-120.0,
2006-04,-115.7,
2006-07,-125.9,
2006-10,-138.7,
2007-01,-120.9,
2007-04,-141.6,
2007-07,-194.7,
2007-10,-185.3,
2008-01,-137.5,
2008-04,-162.7,
2008-07,-166.7,
2008-10,-222.0,
2009-01,-218.2,
2009-04,-230.0,
2009-07,-244.5,
2009-10,-253.9,
2010-01,-248.3,
2010-04,-227.5,
2010-07,-216.7,
2010-10,-223.2,
2011-01,-257.1,
2011-04,-256.6,
2011-07,-268.8,
2011-10,-294.7,
2012-01,-309.1,
2012-04,-298.7,
2012-07,-269.2,
2012-10,-294.9,
2013-01,-275.7,
2013-04,-264.0,
2013-07,-278.6,
2013-10,-246.7,
2014-01,-235.0,
