"",BBSF2.M.1.S.00000.SON01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Other funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:21,
2009-09,149,
2009-10,176,
2009-11,181,
2009-12,209,
2010-01,238,
2010-02,231,
2010-03,304,
2010-04,278,
2010-05,305,
2010-06,306,
2010-07,330,
2010-08,326,
2010-09,393,
2010-10,402,
2010-11,371,
2010-12,420,
2011-01,455,
2011-02,444,
2011-03,406,
2011-04,427,
2011-05,354,
2011-06,368,
2011-07,349,
2011-08,409,
2011-09,380,
2011-10,423,
2011-11,576,
2011-12,597,
2012-01,646,
2012-02,660,
2012-03,661,
2012-04,616,
2012-05,579,
2012-06,616,
2012-07,626,
2012-08,670,
2012-09,801,
2012-10,893,
2012-11,941,
2012-12,1016,
2013-01,1012,
2013-02,1028,
2013-03,1010,
2013-04,1151,
2013-05,1392,
2013-06,1335,
2013-07,1425,
2013-08,1393,
2013-09,1513,
2013-10,1649,
2013-11,1662,
2013-12,1665,
2014-01,1458,
2014-02,1508,
2014-03,1562,
2014-04,1595,
2014-05,1620,
2014-06,1643,
2014-07,1724,
2014-08,1829,
2014-09,1874,
2014-10,1859,
2014-11,1901,
