"",BBK01.OELK06H,BBK01.OELK06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:43,
2002-01,0.330,
2002-04,0.341,
2002-07,0.340,
2002-10,0.333,
2003-01,0.318,
2003-04,0.302,
2003-07,0.296,
2003-10,0.287,
2004-01,0.280,
2004-04,0.278,
2004-07,0.272,
2004-10,0.280,
2005-01,0.276,
2005-04,0.269,
2005-07,0.264,
2005-10,0.252,
2006-01,0.260,
2006-04,0.284,
2006-07,0.297,
2006-10,0.319,
2007-01,0.334,
2007-04,0.339,
2007-07,0.355,
2007-10,0.373,
2008-01,0.394,
2008-04,0.414,
2008-07,0.431,
2008-10,0.443,
2009-01,0.403,
2009-04,0.349,
2009-07,0.311,
2009-10,0.288,
2010-01,0.271,
2010-04,0.256,
2010-07,0.245,
2010-10,0.245,
2011-01,0.255,
2011-04,0.266,
2011-07,0.269,
2011-10,0.269,
2012-01,0.253,
2012-04,0.238,
2012-07,0.222,
2012-10,0.209,
2013-01,0.188,
2013-04,0.173,
2013-07,0.163,
2013-10,0.156,
2014-01,0.149,
2014-04,0.142,
2014-07,0.133,
