"",BBSF2.M.1.S.00000.DAC01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:33,
2009-09,17375,
2009-10,17881,
2009-11,19381,
2009-12,20339,
2010-01,20461,
2010-02,20682,
2010-03,21393,
2010-04,21757,
2010-05,21607,
2010-06,21574,
2010-07,22199,
2010-08,25849,
2010-09,27065,
2010-10,27675,
2010-11,28278,
2010-12,28688,
2011-01,28496,
2011-02,29291,
2011-03,29262,
2011-04,29843,
2011-05,29926,
2011-06,29985,
2011-07,30338,
2011-08,29720,
2011-09,29829,
2011-10,30979,
2011-11,30450,
2011-12,31494,
2012-01,32469,
2012-02,32937,
2012-03,33099,
2012-04,33781,
2012-05,33660,
2012-06,34159,
2012-07,43870,
2012-08,43576,
2012-09,43924,
2012-10,44647,
2012-11,44830,
2012-12,45309,
2013-01,46103,
2013-02,46694,
2013-03,47271,
2013-04,48325,
2013-05,48559,
2013-06,47239,
2013-07,47590,
2013-08,47246,
2013-09,47602,
2013-10,49029,
2013-11,49238,
2013-12,49413,
2014-01,49758,
2014-02,50591,
2014-03,51556,
2014-04,52022,
2014-05,53091,
2014-06,53725,
2014-07,54213,
2014-08,54984,
2014-09,55097,
2014-10,55268,
2014-11,56261,
