"",BBK01.OEAH51M,BBK01.OEAH51M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:56,
2002-01,0.054,
2002-04,0.052,
2002-07,0.049,
2002-10,0.048,
2003-01,0.049,
2003-04,0.049,
2003-07,0.051,
2003-10,0.051,
2004-01,0.045,
2004-04,0.042,
2004-07,0.038,
2004-10,0.039,
2005-01,0.037,
2005-04,0.040,
2005-07,0.040,
2005-10,0.048,
2006-01,0.061,
2006-04,0.078,
2006-07,0.109,
2006-10,0.138,
2007-01,0.186,
2007-04,0.215,
2007-07,0.246,
2007-10,0.289,
2008-01,0.341,
2008-04,0.357,
2008-07,0.386,
2008-10,0.429,
2009-01,0.379,
2009-04,0.318,
2009-07,0.255,
2009-10,0.199,
2010-01,0.188,
2010-04,0.188,
2010-07,0.185,
2010-10,0.186,
2011-01,0.173,
2011-04,0.185,
2011-07,0.185,
2011-10,0.189,
2012-01,0.153,
2012-04,0.135,
2012-07,0.131,
2012-10,0.116,
2013-01,0.096,
2013-04,0.084,
2013-07,0.070,
2013-10,0.059,
2014-01,0.055,
2014-04,0.049,
2014-07,0.044,
