"",BBK01.OEBI01L,BBK01.OEBI01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:13,
2002-01,214.538,
2002-04,216.198,
2002-07,220.247,
2002-10,204.539,
2003-01,236.460,
2003-04,238.777,
2003-07,252.969,
2003-10,234.311,
2004-01,270.598,
2004-04,267.792,
2004-07,291.036,
2004-10,281.638,
2005-01,312.995,
2005-04,319.020,
2005-07,330.569,
2005-10,309.672,
2006-01,338.104,
2006-04,346.264,
2006-07,356.321,
2006-10,343.822,
2007-01,347.359,
2007-04,379.120,
2007-07,365.214,
2007-10,363.393,
2008-01,397.077,
2008-04,371.625,
2008-07,373.585,
2008-10,350.202,
2009-01,352.330,
2009-04,355.140,
2009-07,334.726,
2009-10,324.694,
2010-01,324.692,
2010-04,337.290,
2010-07,339.879,
2010-10,357.439,
2011-01,360.946,
2011-04,386.279,
2011-07,385.329,
2011-10,374.534,
2012-01,381.780,
2012-04,377.781,
2012-07,386.953,
2012-10,396.841,
2013-01,416.864,
2013-04,447.303,
2013-07,405.620,
2013-10,419.635,
2014-01,413.645,
2014-04,415.794,
2014-07,438.554,
