"",BBK01.OEAE32G,BBK01.OEAE32G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:00,
2002-01,2.895,
2002-04,2.884,
2002-07,2.841,
2002-10,2.805,
2003-01,2.758,
2003-04,2.737,
2003-07,2.697,
2003-10,2.729,
2004-01,2.690,
2004-04,2.690,
2004-07,2.627,
2004-10,2.618,
2005-01,2.561,
2005-04,2.548,
2005-07,2.554,
2005-10,2.575,
2006-01,2.543,
2006-04,2.556,
2006-07,2.555,
2006-10,2.576,
2007-01,2.571,
2007-04,2.578,
2007-07,2.572,
2007-10,2.601,
2008-01,2.582,
2008-04,2.583,
2008-07,2.607,
2008-10,2.619,
2009-01,2.621,
2009-04,2.645,
2009-07,2.654,
2009-10,2.632,
2010-01,2.643,
2010-04,2.772,
2010-07,2.797,
2010-10,2.804,
2011-01,2.796,
2011-04,2.804,
2011-07,2.686,
2011-10,2.720,
2012-01,2.737,
2012-04,2.767,
2012-07,2.797,
2012-10,2.775,
2013-01,2.766,
2013-04,2.756,
2013-07,2.763,
2013-10,2.770,
2014-01,2.771,
2014-04,2.800,
2014-07,2.798,
