"",BBK01.OEYI03L,BBK01.OEYI03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:49,
2002-01,93.317,
2002-04,91.973,
2002-07,91.076,
2002-10,90.851,
2003-01,91.181,
2003-04,92.199,
2003-07,93.449,
2003-10,91.694,
2004-01,90.530,
2004-04,92.208,
2004-07,92.619,
2004-10,92.623,
2005-01,93.102,
2005-04,93.577,
2005-07,95.235,
2005-10,91.265,
2006-01,91.274,
2006-04,90.267,
2006-07,89.892,
2006-10,87.299,
2007-01,86.157,
2007-04,86.372,
2007-07,84.009,
2007-10,82.839,
2008-01,83.443,
2008-04,83.293,
2008-07,93.408,
2008-10,94.591,
2009-01,93.944,
2009-04,87.514,
2009-07,75.537,
2009-10,75.145,
2010-01,73.431,
2010-04,73.742,
2010-07,73.279,
2010-10,73.028,
2011-01,69.475,
2011-04,70.078,
2011-07,72.905,
2011-10,67.843,
2012-01,65.338,
2012-04,62.576,
2012-07,62.198,
2012-10,60.449,
2013-01,57.808,
2013-04,57.410,
2013-07,57.398,
2013-10,59.487,
2014-01,56.170,
2014-04,54.077,
2014-07,52.526,
