"",BBK01.CEFQ0N,BBK01.CEFQ0N_FLAGS
"",short-term time deposits                              debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:12,
1999-01,320.6,
1999-04,336.0,
1999-07,361.5,
1999-10,420.3,
2000-01,438.5,
2000-04,435.5,
2000-07,443.5,
2000-10,469.8,
2001-01,552.4,
2001-04,536.1,
2001-07,520.1,
2001-10,553.4,
2002-01,534.7,
2002-04,489.4,
2002-07,513.2,
2002-10,514.1,
2003-01,507.6,
2003-04,484.2,
2003-07,481.7,
2003-10,501.2,
2004-01,502.3,
2004-04,456.8,
2004-07,470.0,
2004-10,530.3,
2005-01,505.4,
2005-04,489.9,
2005-07,505.6,
2005-10,542.6,
2006-01,541.9,
2006-04,505.7,
2006-07,518.6,
2006-10,517.0,
2007-01,516.5,
2007-04,511.4,
2007-07,561.6,
2007-10,593.2,
2008-01,589.3,
2008-04,554.4,
2008-07,572.9,
2008-10,470.3,
2009-01,398.4,
2009-04,403.9,
2009-07,390.0,
2009-10,394.2,
2010-01,377.5,
2010-04,401.5,
2010-07,426.3,
2010-10,436.1,
2011-01,389.7,
2011-04,347.9,
2011-07,387.9,
2011-10,360.6,
2012-01,455.4,
2012-04,432.1,
2012-07,390.7,
2012-10,357.3,
2013-01,364.4,
2013-04,346.7,
2013-07,374.1,
2013-10,349.5,
2014-01,360.4,
2014-04,336.6,
2014-07,369.2,
