"",BBK01.OEGI03I,BBK01.OEGI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:08,
2002-01,19.306,
2002-04,19.253,
2002-07,19.315,
2002-10,18.981,
2003-01,19.105,
2003-04,18.396,
2003-07,18.410,
2003-10,18.621,
2004-01,19.192,
2004-04,18.333,
2004-07,8.262,
2004-10,7.880,
2005-01,8.063,
2005-04,8.019,
2005-07,8.260,
2005-10,8.307,
2006-01,8.507,
2006-04,8.210,
2006-07,8.025,
2006-10,8.126,
2007-01,7.700,
2007-04,7.452,
2007-07,9.120,
2007-10,9.379,
2008-01,10.510,
2008-04,13.581,
2008-07,14.180,
2008-10,11.514,
2009-01,14.485,
2009-04,14.431,
2009-07,12.809,
2009-10,13.562,
2010-01,15.066,
2010-04,9.724,
2010-07,16.243,
2010-10,15.627,
2011-01,14.989,
2011-04,17.112,
2011-07,17.923,
2011-10,15.439,
2012-01,16.815,
2012-04,14.699,
2012-07,15.174,
2012-10,12.514,
2013-01,13.886,
2013-04,11.510,
2013-07,7.502,
2013-10,6.796,
2014-01,7.654,
2014-04,8.020,
2014-07,8.201,
