"",BBK01.OEAD28G,BBK01.OEAD28G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:37,
2002-01,0.596,
2002-04,0.622,
2002-07,0.645,
2002-10,0.600,
2003-01,0.629,
2003-04,0.618,
2003-07,0.670,
2003-10,0.670,
2004-01,0.647,
2004-04,0.670,
2004-07,0.578,
2004-10,0.598,
2005-01,0.611,
2005-04,0.585,
2005-07,0.595,
2005-10,0.580,
2006-01,0.613,
2006-04,0.599,
2006-07,0.410,
2006-10,0.404,
2007-01,0.392,
2007-04,0.417,
2007-07,0.595,
2007-10,0.633,
2008-01,0.610,
2008-04,0.624,
2008-07,0.642,
2008-10,0.503,
2009-01,0.462,
2009-04,0.468,
2009-07,0.452,
2009-10,0.435,
2010-01,0.425,
2010-04,0.403,
2010-07,0.402,
2010-10,0.416,
2011-01,0.444,
2011-04,0.423,
2011-07,0.407,
2011-10,0.425,
2012-01,0.405,
2012-04,0.397,
2012-07,0.399,
2012-10,0.565,
2013-01,0.563,
2013-04,0.546,
2013-07,0.545,
2013-10,0.440,
2014-01,0.434,
2014-04,0.430,
2014-07,0.428,
