"",BBK01.OEXK02V,BBK01.OEXK02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:09,
2002-01,0.247,
2002-04,0.239,
2002-07,0.255,
2002-10,0.274,
2003-01,0.290,
2003-04,0.294,
2003-07,0.292,
2003-10,0.324,
2004-01,0.295,
2004-04,0.292,
2004-07,0.294,
2004-10,0.326,
2005-01,0.310,
2005-04,0.320,
2005-07,0.266,
2005-10,0.284,
2006-01,0.299,
2006-04,0.293,
2006-07,0.301,
2006-10,0.312,
2007-01,0.316,
2007-04,0.309,
2007-07,0.316,
2007-10,0.334,
2008-01,0.315,
2008-04,0.307,
2008-07,0.305,
2008-10,0.301,
2009-01,0.385,
2009-04,0.399,
2009-07,0.426,
2009-10,0.436,
2010-01,0.434,
2010-04,0.485,
2010-07,0.529,
2010-10,0.566,
2011-01,0.557,
2011-04,0.517,
2011-07,0.550,
2011-10,0.566,
2012-01,0.573,
2012-04,0.608,
2012-07,0.642,
2012-10,0.667,
2013-01,0.649,
2013-04,0.680,
2013-07,0.701,
2013-10,0.716,
2014-01,0.731,
2014-04,0.740,
2014-07,0.775,
