"",BBK01.OEHJ05J,BBK01.OEHJ05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:38,
2002-01,0.198,
2002-04,0.197,
2002-07,0.199,
2002-10,0.200,
2003-01,0.200,
2003-04,0.198,
2003-07,0.199,
2003-10,0.220,
2004-01,0.198,
2004-04,0.207,
2004-07,0.206,
2004-10,0.222,
2005-01,0.226,
2005-04,0.266,
2005-07,0.311,
2005-10,0.405,
2006-01,0.463,
2006-04,0.472,
2006-07,0.487,
2006-10,0.486,
2007-01,0.492,
2007-04,0.544,
2007-07,0.556,
2007-10,0.548,
2008-01,0.541,
2008-04,0.542,
2008-07,0.548,
2008-10,0.559,
2009-01,0.559,
2009-04,0.557,
2009-07,0.507,
2009-10,0.533,
2010-01,0.561,
2010-04,0.540,
2010-07,0.522,
2010-10,0.515,
2011-01,0.536,
2011-04,0.545,
2011-07,0.558,
2011-10,0.532,
2012-01,0.528,
2012-04,0.529,
2012-07,0.537,
2012-10,0.548,
2013-01,0.560,
2013-04,0.583,
2013-07,0.579,
2013-10,0.542,
2014-01,0.536,
2014-04,0.536,
2014-07,0.539,
