"",BBK01.OEAJ10M,BBK01.OEAJ10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:58,
2002-01,0.113,
2002-04,0.115,
2002-07,0.116,
2002-10,0.119,
2003-01,0.120,
2003-04,0.113,
2003-07,0.116,
2003-10,0.118,
2004-01,0.142,
2004-04,0.141,
2004-07,0.163,
2004-10,0.140,
2005-01,0.140,
2005-04,0.141,
2005-07,0.137,
2005-10,0.136,
2006-01,0.136,
2006-04,0.132,
2006-07,0.132,
2006-10,0.129,
2007-01,0.122,
2007-04,0.116,
2007-07,0.114,
2007-10,0.108,
2008-01,0.159,
2008-04,0.183,
2008-07,0.284,
2008-10,0.308,
2009-01,0.306,
2009-04,0.347,
2009-07,0.354,
2009-10,0.342,
2010-01,0.336,
2010-04,0.327,
2010-07,0.316,
2010-10,0.305,
2011-01,0.295,
2011-04,0.276,
2011-07,0.272,
2011-10,0.259,
2012-01,0.093,
2012-04,0.085,
2012-07,0.074,
2012-10,0.071,
2013-01,0.070,
2013-04,0.067,
2013-07,0.065,
2013-10,0.064,
2014-01,0.058,
2014-04,0.055,
2014-07,0.052,
