"",BBSF2.M.1.S.I0002.IMM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.IMM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:51:50,
2004-01,1,
2004-02,5,
2004-03,6,
2004-04,6,
2004-05,6,
2004-06,7,
2004-07,7,
2004-08,8,
2004-09,8,
2004-10,8,
2004-11,10,
2004-12,11,
2005-01,11,
2005-02,11,
2005-03,10,
2005-04,10,
2005-05,10,
2005-06,11,
2005-07,12,
2005-08,14,
2005-09,21,
2005-10,23,
2005-11,23,
2005-12,25,
2006-01,25,
2006-02,25,
2006-03,25,
2006-04,25,
2006-05,26,
2006-06,26,
2006-07,26,
2006-08,27,
2006-09,27,
2006-10,27,
2006-11,28,
2006-12,29,
2007-01,29,
2007-02,29,
2007-03,29,
2007-04,29,
2007-05,30,
2007-06,30,
2007-07,30,
2007-08,30,
2007-09,30,
2007-10,29,
2007-11,29,
2007-12,30,
2008-01,30,
2008-02,30,
2008-03,30,
2008-04,30,
2008-05,30,
2008-06,31,
2008-07,31,
2008-08,31,
2008-09,31,
2008-10,30,
2008-11,31,
2008-12,32,
2009-01,33,
2009-02,34,
2009-03,33,
2009-04,33,
2009-05,33,
2009-06,34,
2009-07,34,
2009-08,36,
2009-09,34,
2009-10,34,
2009-11,35,
2009-12,36,
2010-01,37,
2010-02,37,
2010-03,37,
2010-04,37,
2010-05,37,
2010-06,37,
2010-07,37,
2010-08,37,
2010-09,38,
2010-10,40,
2010-11,41,
2010-12,42,
2011-01,42,
2011-02,43,
2011-03,43,
2011-04,44,
2011-05,45,
2011-06,46,
2011-07,46,
2011-08,46,
2011-09,42,
2011-10,42,
2011-11,42,
2011-12,42,
2012-01,43,
2012-02,43,
2012-03,47,
2012-04,48,
2012-05,48,
2012-06,48,
2012-07,49,
2012-08,51,
2012-09,51,
2012-10,60,
2012-11,61,
2012-12,62,
2013-01,62,
2013-02,62,
2013-03,62,
2013-04,62,
2013-05,63,
2013-06,63,
2013-07,65,
2013-08,65,
2013-09,65,
2013-10,65,
2013-11,65,
2013-12,66,
2014-01,66,
2014-02,66,
2014-03,66,
2014-04,66,
2014-05,66,
2014-06,66,
2014-07,72,
2014-08,72,
2014-09,72,
2014-10,72,
2014-11,73,
