"",BBK01.OEAD09H,BBK01.OEAD09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:45,
2002-01,1.630,
2002-04,1.628,
2002-07,1.575,
2002-10,1.517,
2003-01,1.452,
2003-04,1.494,
2003-07,1.457,
2003-10,1.460,
2004-01,1.379,
2004-04,1.351,
2004-07,1.320,
2004-10,1.256,
2005-01,1.151,
2005-04,1.131,
2005-07,1.097,
2005-10,0.978,
2006-01,0.988,
2006-04,1.013,
2006-07,0.985,
2006-10,0.979,
2007-01,0.980,
2007-04,0.917,
2007-07,0.908,
2007-10,0.940,
2008-01,0.936,
2008-04,1.093,
2008-07,1.033,
2008-10,0.949,
2009-01,0.970,
2009-04,0.876,
2009-07,0.906,
2009-10,0.859,
2010-01,0.824,
2010-04,0.850,
2010-07,0.822,
2010-10,0.772,
2011-01,0.708,
2011-04,0.755,
2011-07,0.763,
2011-10,0.769,
2012-01,0.778,
2012-04,0.791,
2012-07,0.782,
2012-10,0.762,
2013-01,0.766,
2013-04,0.770,
2013-07,0.759,
2013-10,0.700,
2014-01,0.679,
2014-04,0.697,
2014-07,0.680,
