"",BBK01.OEYI02K,BBK01.OEYI02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:42,
2002-01,3.060,
2002-04,3.397,
2002-07,5.304,
2002-10,4.123,
2003-01,4.729,
2003-04,4.468,
2003-07,2.315,
2003-10,3.585,
2004-01,2.911,
2004-04,5.064,
2004-07,6.018,
2004-10,2.782,
2005-01,2.896,
2005-04,3.206,
2005-07,3.281,
2005-10,3.228,
2006-01,3.132,
2006-04,3.623,
2006-07,3.811,
2006-10,3.643,
2007-01,3.752,
2007-04,3.982,
2007-07,3.885,
2007-10,4.421,
2008-01,4.154,
2008-04,3.981,
2008-07,3.936,
2008-10,3.952,
2009-01,3.601,
2009-04,4.203,
2009-07,5.476,
2009-10,5.180,
2010-01,5.216,
2010-04,5.611,
2010-07,6.314,
2010-10,6.281,
2011-01,5.942,
2011-04,4.899,
2011-07,5.461,
2011-10,6.198,
2012-01,6.102,
2012-04,6.111,
2012-07,6.363,
2012-10,5.023,
2013-01,5.374,
2013-04,5.318,
2013-07,5.897,
2013-10,5.345,
2014-01,5.713,
2014-04,5.911,
2014-07,6.336,
