"",BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:56,
1991-01,153.325,
1991-04,0.105,
1991-07,152.529,
1991-10,5.403,
1992-01,-0.783,
1992-04,-0.580,
1992-07,-25.307,
1992-10,18.966,
1993-01,-34.355,
1993-04,9.507,
1993-07,-3.157,
1993-10,324.919,
1994-01,-0.606,
1994-04,-458.353,
1994-07,1.063,
1994-10,-0.794,
1995-01,-0.863,
1995-04,-5.356,
1995-07,-0.929,
1995-10,-1.840,
1996-01,12.277,
1996-04,-51.709,
1996-07,2.202,
1996-10,-0.378,
1997-01,0.082,
1997-04,-0.724,
1997-07,-5.433,
1997-10,-0.628,
1998-01,-0.225,
1998-04,1533.950,
1998-07,63.584,
1998-10,-523.164,
1999-01,-2.823,
1999-04,-1031.398,
1999-07,-501.084,
1999-10,-11.306,
2000-01,17.397,
2000-04,-7.059,
2000-07,-3.376,
2000-10,-20.512,
2001-01,-27.490,
2001-04,222.314,
2001-07,-175.328,
2001-10,906.224,
2002-01,58.951,
2002-04,7.582,
2002-07,482.824,
2002-10,-377.217,
2003-01,11.827,
2003-04,317.933,
2003-07,0.550,
2003-10,41.966,
2004-01,-17.296,
2004-04,30.219,
2004-07,10.757,
2004-10,-61.656,
2005-01,173.461,
2005-04,-158.936,
2005-07,-127.539,
2005-10,-128.085,
2006-01,-96.591,
2006-04,-70.412,
2006-07,-55.907,
2006-10,-435.855,
2007-01,-54.168,
2007-04,74.216,
2007-07,585.930,
2007-10,1.068,
2008-01,282.690,
2008-04,185.594,
2008-07,-97.133,
2008-10,-8.061,
2009-01,-238.060,
2009-04,186.346,
2009-07,52.762,
2009-10,1086.029,
2010-01,-48.373,
2010-04,14.524,
2010-07,48.732,
2010-10,139.661,
2011-01,-4.242,
2011-04,-222.024,
2011-07,58.517,
2011-10,-300.080,
2012-01,21.614,
2012-04,-157.692,
2012-07,-156.251,
2012-10,-648.935,
2013-01,-742.739,
2013-04,-625.587,
2013-07,306.192,
2013-10,46.828,
2014-01,-2.874,Provisional value
2014-04,-107.418,Provisional value
2014-07,-64.309,Provisional value
2014-10,-52.711,Provisional value
