"",BBK01.OEXL02V,BBK01.OEXL02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:58,
2002-01,0.830,
2002-04,0.820,
2002-07,0.823,
2002-10,0.886,
2003-01,0.894,
2003-04,0.827,
2003-07,0.863,
2003-10,0.935,
2004-01,0.972,
2004-04,0.815,
2004-07,0.820,
2004-10,0.776,
2005-01,0.778,
2005-04,0.794,
2005-07,0.810,
2005-10,0.869,
2006-01,0.922,
2006-04,0.915,
2006-07,0.863,
2006-10,0.980,
2007-01,0.992,
2007-04,1.031,
2007-07,1.051,
2007-10,1.105,
2008-01,1.063,
2008-04,1.090,
2008-07,1.096,
2008-10,1.122,
2009-01,1.179,
2009-04,1.223,
2009-07,1.256,
2009-10,1.392,
2010-01,1.412,
2010-04,1.430,
2010-07,1.462,
2010-10,1.490,
2011-01,1.466,
2011-04,1.532,
2011-07,1.562,
2011-10,1.601,
2012-01,1.618,
2012-04,1.546,
2012-07,1.304,
2012-10,1.398,
2013-01,1.464,
2013-04,1.546,
2013-07,1.569,
2013-10,1.624,
2014-01,1.660,
2014-04,1.739,
2014-07,1.763,
