"",BBK01.OEHB20R,BBK01.OEHB20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:02,
2002-01,2.882,
2002-04,2.922,
2002-07,2.953,
2002-10,2.995,
2003-01,2.973,
2003-04,2.997,
2003-07,3.017,
2003-10,3.042,
2004-01,3.010,
2004-04,3.002,
2004-07,2.997,
2004-10,3.002,
2005-01,2.965,
2005-04,2.947,
2005-07,2.946,
2005-10,2.957,
2006-01,2.902,
2006-04,2.900,
2006-07,2.903,
2006-10,2.900,
2007-01,2.868,
2007-04,2.855,
2007-07,2.825,
2007-10,2.800,
2008-01,2.773,
2008-04,2.773,
2008-07,2.777,
2008-10,2.779,
2009-01,2.750,
2009-04,2.752,
2009-07,2.759,
2009-10,2.781,
2010-01,2.774,
2010-04,2.790,
2010-07,2.814,
2010-10,2.850,
2011-01,2.836,
2011-04,2.841,
2011-07,2.857,
2011-10,2.866,
2012-01,2.863,
2012-04,2.901,
2012-07,2.938,
2012-10,2.954,
2013-01,2.956,
2013-04,2.988,
2013-07,3.021,
2013-10,3.049,
2014-01,3.055,
2014-04,3.089,
2014-07,3.129,
