"",BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F4.L._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / General government / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:00,
1991-01,-144.857,
1991-04,-623.268,
1991-07,796.828,
1991-10,-236.879,
1992-01,-667.563,
1992-04,-785.245,
1992-07,-322.603,
1992-10,351.048,
1993-01,-1195.697,
1993-04,289.530,
1993-07,1883.811,
1993-10,835.878,
1994-01,-480.037,
1994-04,-86.884,
1994-07,-1243.685,
1994-10,997.027,
1995-01,78.918,
1995-04,-1403.629,
1995-07,0.538,
1995-10,2499.370,
1996-01,-1678.399,
1996-04,158.089,
1996-07,892.451,
1996-10,1758.249,
1997-01,-1890.784,
1997-04,-511.176,
1997-07,-1297.777,
1997-10,-58.642,
1998-01,-312.910,
1998-04,-621.850,
1998-07,-460.046,
1998-10,-2838.602,
1999-01,-2532.116,
1999-04,-1106.612,
1999-07,-1715.172,
1999-10,-2951.909,
2000-01,-227.364,
2000-04,-107.370,
2000-07,-428.265,
2000-10,391.364,
2001-01,-88.948,
2001-04,-180.671,
2001-07,-99.629,
2001-10,152.387,
2002-01,-318.345,
2002-04,-175.824,
2002-07,528.319,
2002-10,-159.385,
2003-01,3953.332,
2003-04,-112.878,
2003-07,-160.101,
2003-10,1178.352,
2004-01,-1720.096,
2004-04,539.489,
2004-07,-1059.665,
2004-10,-914.988,
2005-01,2972.877,
2005-04,-507.923,
2005-07,567.201,
2005-10,-405.712,
2006-01,603.252,
2006-04,-513.436,
2006-07,499.371,
2006-10,245.491,
2007-01,-640.372,
2007-04,-1347.747,
2007-07,-920.207,
2007-10,-283.124,
2008-01,-1094.584,
2008-04,-208.930,
2008-07,-141.547,
2008-10,284.580,
2009-01,-476.779,
2009-04,-931.535,
2009-07,-190.275,
2009-10,-412.753,
2010-01,-584.249,
2010-04,-47.543,
2010-07,101.081,
2010-10,1142.454,
2011-01,559.768,
2011-04,1442.070,
2011-07,1724.427,
2011-10,957.484,
2012-01,13444.944,
2012-04,11286.725,
2012-07,1294.062,
2012-10,10231.480,
2013-01,778.273,
2013-04,6121.502,
2013-07,1910.801,
2013-10,666.433,
2014-01,-1767.029,
2014-04,1423.536,
2014-07,-347.559,
