"",BBK01.OEHB09R,BBK01.OEHB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:58,
2002-01,1.145,
2002-04,1.170,
2002-07,1.169,
2002-10,1.168,
2003-01,1.145,
2003-04,1.169,
2003-07,1.177,
2003-10,1.156,
2004-01,1.149,
2004-04,1.165,
2004-07,1.160,
2004-10,1.150,
2005-01,1.145,
2005-04,1.121,
2005-07,1.112,
2005-10,1.062,
2006-01,1.045,
2006-04,1.039,
2006-07,1.029,
2006-10,1.037,
2007-01,1.025,
2007-04,1.008,
2007-07,0.978,
2007-10,0.957,
2008-01,0.953,
2008-04,0.937,
2008-07,0.936,
2008-10,0.943,
2009-01,0.949,
2009-04,0.940,
2009-07,0.946,
2009-10,0.958,
2010-01,0.965,
2010-04,0.976,
2010-07,0.979,
2010-10,0.977,
2011-01,0.983,
2011-04,0.993,
2011-07,0.991,
2011-10,1.006,
2012-01,0.986,
2012-04,0.988,
2012-07,1.018,
2012-10,1.044,
2013-01,1.017,
2013-04,1.042,
2013-07,1.061,
2013-10,1.087,
2014-01,1.107,
2014-04,1.138,
2014-07,1.140,
