"",BBK01.OEAG05O,BBK01.OEAG05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:28,
2002-01,0.002,
2002-04,0.002,
2002-07,0.005,
2002-10,-,Nothing exists
2003-01,0.004,
2003-04,0.009,
2003-07,0.047,
2003-10,0.057,
2004-01,0.083,
2004-04,0.103,
2004-07,0.100,
2004-10,0.107,
2005-01,0.101,
2005-04,0.118,
2005-07,0.119,
2005-10,0.108,
2006-01,0.017,
2006-04,0.022,
2006-07,0.022,
2006-10,0.031,
2007-01,0.019,
2007-04,0.020,
2007-07,0.009,
2007-10,0.008,
2008-01,0.002,
2008-04,0.002,
2008-07,0.005,
2008-10,0.004,
2009-01,0.001,
2009-04,0.003,
2009-07,0.003,
2009-10,0.001,
2010-01,0.004,
2010-04,0.002,
2010-07,0.006,
2010-10,0.006,
2011-01,0.006,
2011-04,0.094,
2011-07,0.005,
2011-10,0.005,
2012-01,0.005,
2012-04,0.004,
2012-07,0.004,
2012-10,0.006,
2013-01,0.004,
2013-04,0.005,
2013-07,0.004,
2013-10,0.004,
2014-01,0.004,
2014-04,0.004,
2014-07,0.004,
