"",BBK01.OEAA40H,BBK01.OEAA40H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:58,
2002-01,5.225,
2002-04,5.256,
2002-07,5.230,
2002-10,5.229,
2003-01,5.210,
2003-04,5.129,
2003-07,5.138,
2003-10,5.670,
2004-01,5.000,
2004-04,4.920,
2004-07,4.799,
2004-10,4.718,
2005-01,4.702,
2005-04,4.646,
2005-07,4.455,
2005-10,4.344,
2006-01,4.279,
2006-04,4.229,
2006-07,4.168,
2006-10,4.104,
2007-01,4.047,
2007-04,4.892,
2007-07,4.809,
2007-10,4.608,
2008-01,4.326,
2008-04,4.240,
2008-07,4.078,
2008-10,4.013,
2009-01,3.945,
2009-04,3.853,
2009-07,3.805,
2009-10,3.704,
2010-01,3.605,
2010-04,3.512,
2010-07,3.386,
2010-10,3.276,
2011-01,3.165,
2011-04,3.064,
2011-07,3.000,
2011-10,2.894,
2012-01,2.804,
2012-04,2.699,
2012-07,2.613,
2012-10,2.537,
2013-01,2.416,
2013-04,2.378,
2013-07,2.322,
2013-10,2.263,
2014-01,2.192,
2014-04,2.124,
2014-07,2.083,
