"",BBK01.OEXB24V,BBK01.OEXB24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:39,
2002-01,0.822,
2002-04,0.813,
2002-07,0.820,
2002-10,0.881,
2003-01,0.814,
2003-04,0.808,
2003-07,0.838,
2003-10,0.869,
2004-01,0.920,
2004-04,0.916,
2004-07,0.915,
2004-10,0.967,
2005-01,1.017,
2005-04,1.059,
2005-07,1.055,
2005-10,1.079,
2006-01,1.086,
2006-04,1.064,
2006-07,1.079,
2006-10,1.056,
2007-01,1.034,
2007-04,1.036,
2007-07,1.018,
2007-10,0.875,
2008-01,0.838,
2008-04,0.811,
2008-07,0.789,
2008-10,0.764,
2009-01,0.739,
2009-04,0.744,
2009-07,0.735,
2009-10,0.765,
2010-01,0.822,
2010-04,0.823,
2010-07,0.842,
2010-10,0.860,
2011-01,0.867,
2011-04,0.890,
2011-07,0.891,
2011-10,0.893,
2012-01,0.862,
2012-04,0.864,
2012-07,0.848,
2012-10,0.874,
2013-01,0.860,
2013-04,0.855,
2013-07,0.855,
2013-10,0.945,
2014-01,0.970,
2014-04,0.936,
2014-07,0.958,
