"",BBK01.OEAH87N,BBK01.OEAH87N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:43,
2002-01,23.705,
2002-04,23.880,
2002-07,24.255,
2002-10,23.517,
2003-01,22.395,
2003-04,20.903,
2003-07,20.666,
2003-10,20.511,
2004-01,20.169,
2004-04,18.960,
2004-07,18.045,
2004-10,13.552,
2005-01,17.598,
2005-04,16.763,
2005-07,15.807,
2005-10,15.650,
2006-01,14.628,
2006-04,17.113,
2006-07,19.737,
2006-10,20.105,
2007-01,15.515,
2007-04,13.650,
2007-07,18.986,
2007-10,20.084,
2008-01,23.303,
2008-04,25.799,
2008-07,25.417,
2008-10,29.658,
2009-01,27.084,
2009-04,21.488,
2009-07,26.607,
2009-10,26.450,
2010-01,31.000,
2010-04,27.663,
2010-07,26.195,
2010-10,27.535,
2011-01,21.971,
2011-04,20.057,
2011-07,19.319,
2011-10,18.805,
2012-01,18.030,
2012-04,13.802,
2012-07,12.180,
2012-10,12.716,
2013-01,12.305,
2013-04,10.901,
2013-07,10.465,
2013-10,10.107,
2014-01,11.807,
2014-04,10.039,
2014-07,9.563,
