"",BBK01.XS8885,BBK01.XS8885_FLAGS
"",Imports / Product Classification for Production Statistics from 2002 / Consumer goods / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:26,
2000-01,8.76,
2000-02,8.28,
2000-03,8.97,
2000-04,8.46,
2000-05,9.25,
2000-06,9.01,
2000-07,8.87,
2000-08,9.18,
2000-09,9.29,
2000-10,9.48,
2000-11,9.17,
2000-12,9.34,
2001-01,9.05,
2001-02,9.56,
2001-03,9.16,
2001-04,9.60,
2001-05,9.37,
2001-06,9.34,
2001-07,9.65,
2001-08,9.39,
2001-09,9.29,
2001-10,9.52,
2001-11,9.62,
2001-12,8.91,
2002-01,9.01,
2002-02,10.45,
2002-03,9.59,
2002-04,10.24,
2002-05,9.38,
2002-06,10.05,
2002-07,9.61,
2002-08,10.31,
2002-09,9.96,
2002-10,10.10,
2002-11,10.08,
2002-12,10.23,
2003-01,10.03,
2003-02,9.56,
2003-03,10.10,
2003-04,9.90,
2003-05,9.97,
2003-06,10.12,
2003-07,9.74,
2003-08,9.65,
2003-09,10.01,
2003-10,9.78,
2003-11,10.36,
2003-12,9.98,
2004-01,10.04,
2004-02,10.49,
2004-03,10.06,
2004-04,10.36,
2004-05,10.43,
2004-06,10.09,
2004-07,10.22,
2004-08,10.19,
2004-09,10.40,
2004-10,10.43,
2004-11,10.71,
2004-12,9.53,
2005-01,10.28,
2005-02,10.09,
2005-03,9.90,
2005-04,10.50,
2005-05,11.16,
2005-06,10.36,
2005-07,11.21,
2005-08,11.17,
2005-09,11.20,
2005-10,11.35,
2005-11,11.21,
2005-12,11.67,
2006-01,11.64,
2006-02,11.67,
2006-03,12.00,
2006-04,11.95,
2006-05,12.07,
2006-06,11.77,
2006-07,11.81,
2006-08,11.59,
2006-09,12.27,
2006-10,12.33,
2006-11,12.09,
2006-12,12.23,
2007-01,12.44,
2007-02,12.77,
2007-03,12.87,
2007-04,12.88,
2007-05,12.17,
2007-06,12.81,
2007-07,13.00,
2007-08,13.48,
2007-09,13.15,
2007-10,12.99,
2007-11,13.04,
2007-12,12.87,
2008-01,12.70,
2008-02,12.92,
2008-03,12.57,
2008-04,12.44,
2008-05,12.87,
2008-06,12.61,
2008-07,13.43,
2008-08,12.83,
2008-09,13.27,
2008-10,13.10,
2008-11,12.95,
2008-12,12.56,
