"",BBSF2.M.1.S.00000.AKT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:18,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,5596,
1993-05,6134,
1993-06,6222,
1993-07,6453,
1993-08,6930,
1993-09,6681,
1993-10,7490,
1993-11,7571,
1993-12,8334,
1994-01,8440,
1994-02,8451,
1994-03,8546,
1994-04,8953,
1994-05,8659,
1994-06,8671,
1994-07,8761,
1994-08,8920,
1994-09,8512,
1994-10,8950,
1994-11,8883,
1994-12,9047,
1995-01,8820,
1995-02,8971,
1995-03,8594,
1995-04,8900,
1995-05,9021,
1995-06,9060,
1995-07,9684,
1995-08,9849,
1995-09,9474,
1995-10,9393,
1995-11,9728,
1995-12,9868,
1996-01,10905,
1996-02,10857,
1996-03,11097,
1996-04,11442,
1996-05,11496,
1996-06,11803,
1996-07,11556,
1996-08,11895,
1996-09,12414,
1996-10,12626,
1996-11,13594,
1996-12,14599,
1997-01,16002,
1997-02,17556,
1997-03,18172,
1997-04,18611,
1997-05,19462,
1997-06,21069,
1997-07,24013,
1997-08,22096,
1997-09,24325,
1997-10,24900,
1997-11,25984,
1997-12,27127,
1998-01,28240,
1998-02,30163,
1998-03,33040,
1998-04,33038,
1998-05,34691,
1998-06,36340,
1998-07,36946,
1998-08,33124,
1998-09,30167,
1998-10,30448,
1998-11,34801,
1998-12,36241,
1999-01,38836,
1999-02,38594,
1999-03,39237,
1999-04,42798,
1999-05,40979,
1999-06,42811,
1999-07,41278,
1999-08,43099,
1999-09,41399,
1999-10,43993,
1999-11,48051,
1999-12,51983,
2000-01,50189,
2000-02,54692,
2000-03,55741,
2000-04,57301,
2000-05,56575,
2000-06,57166,
2000-07,58467,
2000-08,60610,
2000-09,58288,
2000-10,58511,
2000-11,55711,
2000-12,56288,
2001-01,57117,
2001-02,51648,
2001-03,49600,
2001-04,53139,
2001-05,53664,
2001-06,52164,
2001-07,51044,
2001-08,48059,
2001-09,43301,
2001-10,45060,
2001-11,47284,
2001-12,48374,
2002-01,48704,
2002-02,48277,
2002-03,50118,
2002-04,50244,
2002-05,48910,
2002-06,44560,
2002-07,41759,
2002-08,42243,
2002-09,38195,
2002-10,41767,
2002-11,43640,
2002-12,40223,
2003-01,39647,
2003-02,38960,
2003-03,38044,
2003-04,40258,
2003-05,40515,
2003-06,41168,
2003-07,41944,
2003-08,42666,
2003-09,41547,
2003-10,44398,
2003-11,47896,
2003-12,50204,
2004-01,49024,
2004-02,50805,
2004-03,50321,
2004-04,49795,
2004-05,49089,
2004-06,48960,
2004-07,49122,
2004-08,49392,
2004-09,49280,
2004-10,49483,
2004-11,49852,
2004-12,50956,
2005-01,50995,
2005-02,51299,
2005-03,51001,
2005-04,50664,
2005-05,53853,
2005-06,55779,
2005-07,57914,
2005-08,57144,
2005-09,60067,
2005-10,60068,
2005-11,62772,
2005-12,63766,
2006-01,69734,
2006-02,72114,
2006-03,72699,
2006-04,72189,
2006-05,68922,
2006-06,66627,
2006-07,68756,
2006-08,70742,
2006-09,65891,
2006-10,67689,
2006-11,67678,
2006-12,68767,
2007-01,68655,
2007-02,67235,
2007-03,68497,
2007-04,68634,
2007-05,69934,
2007-06,68499,
2007-07,67743,
2007-08,67364,
2007-09,67516,
2007-10,69347,
2007-11,66939,
2007-12,66667,
2008-01,60401,
2008-02,59211,
2008-03,58613,
2008-04,61334,
2008-05,61156,
2008-06,58356,
2008-07,57884,
2008-08,58555,
2008-09,53190,
2008-10,50492,
2008-11,52167,
2008-12,49933,
2009-01,49272,
2009-02,46517,
2009-03,47225,
2009-04,41111,
2009-05,46057,
2009-06,43736,
2009-07,45676,
2009-08,46033,
2009-09,50688,
2009-10,49260,
2009-11,48655,
2009-12,50531,
2010-01,49112,
2010-02,49088,
2010-03,51941,
2010-04,52230,
2010-05,50920,
2010-06,50504,
2010-07,51617,
2010-08,51416,
2010-09,51565,
2010-10,52608,
2010-11,52792,
2010-12,54126,
2011-01,52347,
2011-02,53731,
2011-03,53063,
2011-04,53762,
2011-05,54191,
2011-06,53605,
2011-07,53679,
2011-08,50325,
2011-09,48793,
2011-10,49867,
2011-11,49253,
2011-12,50747,
2012-01,52460,
2012-02,53214,
2012-03,53051,
2012-04,49867,
2012-05,49308,
2012-06,49424,
2012-07,51339,
2012-08,51847,
2012-09,52568,
2012-10,53053,
2012-11,54188,
2012-12,56826,
2013-01,57736,
2013-02,58935,
2013-03,61842,
2013-04,62681,
2013-05,63001,
2013-06,61038,
2013-07,62845,
2013-08,63064,
2013-09,64692,
2013-10,66489,
2013-11,67709,
2013-12,66173,
2014-01,65211,
2014-02,66959,
2014-03,66808,
2014-04,72390,
2014-05,73917,
2014-06,74438,
2014-07,75306,
2014-08,77231,
2014-09,77085,
2014-10,69904,
2014-11,74419,
