"",BBK01.OEYM03P,BBK01.OEYM03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:46,
2002-01,0.168,
2002-04,0.171,
2002-07,0.168,
2002-10,0.205,
2003-01,0.129,
2003-04,0.177,
2003-07,0.201,
2003-10,0.197,
2004-01,0.047,
2004-04,0.045,
2004-07,0.104,
2004-10,0.193,
2005-01,0.113,
2005-04,0.042,
2005-07,0.041,
2005-10,0.037,
2006-01,0.085,
2006-04,0.138,
2006-07,0.137,
2006-10,0.235,
2007-01,0.234,
2007-04,0.234,
2007-07,0.184,
2007-10,0.279,
2008-01,0.275,
2008-04,0.274,
2008-07,0.275,
2008-10,0.202,
2009-01,0.275,
2009-04,0.381,
2009-07,0.362,
2009-10,0.221,
2010-01,0.220,
2010-04,0.269,
2010-07,0.349,
2010-10,0.292,
2011-01,0.263,
2011-04,0.275,
2011-07,0.491,
2011-10,0.273,
2012-01,0.798,
2012-04,0.391,
2012-07,0.381,
2012-10,0.409,
2013-01,0.691,
2013-04,0.751,
2013-07,0.490,
2013-10,0.280,
2014-01,0.353,
2014-04,0.330,
2014-07,0.484,
