"",BBK01.OEAI06J,BBK01.OEAI06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:38,
2002-01,0.705,
2002-04,0.699,
2002-07,0.680,
2002-10,0.655,
2003-01,0.660,
2003-04,0.660,
2003-07,0.638,
2003-10,0.598,
2004-01,0.605,
2004-04,0.588,
2004-07,0.572,
2004-10,0.579,
2005-01,0.573,
2005-04,0.546,
2005-07,0.544,
2005-10,0.538,
2006-01,0.526,
2006-04,0.520,
2006-07,0.543,
2006-10,0.585,
2007-01,0.637,
2007-04,0.679,
2007-07,0.716,
2007-10,0.756,
2008-01,0.817,
2008-04,0.860,
2008-07,0.919,
2008-10,0.930,
2009-01,0.883,
2009-04,0.793,
2009-07,0.717,
2009-10,0.618,
2010-01,0.596,
2010-04,0.609,
2010-07,0.603,
2010-10,0.651,
2011-01,0.681,
2011-04,0.706,
2011-07,0.720,
2011-10,0.715,
2012-01,0.687,
2012-04,0.678,
2012-07,0.669,
2012-10,0.658,
2013-01,0.575,
2013-04,0.561,
2013-07,0.546,
2013-10,0.506,
2014-01,0.478,
2014-04,0.469,
2014-07,0.442,
