"",BBK01.OEAD35P,BBK01.OEAD35P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:10,
2002-01,0.195,
2002-04,0.197,
2002-07,0.205,
2002-10,0.200,
2003-01,0.272,
2003-04,0.267,
2003-07,0.278,
2003-10,0.271,
2004-01,0.263,
2004-04,0.254,
2004-07,0.243,
2004-10,0.224,
2005-01,0.218,
2005-04,0.241,
2005-07,0.248,
2005-10,0.263,
2006-01,0.246,
2006-04,0.241,
2006-07,0.239,
2006-10,0.233,
2007-01,0.218,
2007-04,0.220,
2007-07,0.221,
2007-10,0.226,
2008-01,0.223,
2008-04,0.222,
2008-07,0.238,
2008-10,0.271,
2009-01,0.274,
2009-04,0.288,
2009-07,0.284,
2009-10,0.313,
2010-01,0.344,
2010-04,0.404,
2010-07,0.391,
2010-10,0.403,
2011-01,0.398,
2011-04,0.398,
2011-07,0.399,
2011-10,0.389,
2012-01,0.379,
2012-04,0.364,
2012-07,0.354,
2012-10,0.352,
2013-01,0.343,
2013-04,0.329,
2013-07,0.321,
2013-10,0.314,
2014-01,0.299,
2014-04,0.292,
2014-07,0.311,
