"",BBFN1.M.DE.N.1.A.R12.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1990-01,1.865,
1990-02,1.754,
1990-03,1.858,
1990-04,1.688,
1990-05,1.707,
1990-06,1.909,
1990-07,1.700,
1990-08,1.585,
1990-09,1.606,
1990-10,1.526,
1990-11,1.628,
1990-12,1.428,
1991-01,1.450,
1991-02,1.437,
1991-03,1.603,
1991-04,1.588,
1991-05,1.691,
1991-06,1.690,
1991-07,1.836,
1991-08,1.815,
1991-09,1.643,
1991-10,1.882,
1991-11,1.652,
1991-12,1.716,
1992-01,1.960,
1992-02,2.075,
1992-03,2.034,
1992-04,1.932,
1992-05,2.037,
1992-06,2.055,
1992-07,2.178,
1992-08,2.004,
1992-09,1.968,
1992-10,2.147,
1992-11,2.190,
1992-12,1.932,
1993-01,1.986,
1993-02,1.793,
1993-03,1.991,
1993-04,2.214,
1993-05,2.074,
1993-06,2.163,
1993-07,2.014,
1993-08,2.224,
1993-09,2.016,
1993-10,2.200,
1993-11,2.242,
1993-12,1.983,
1994-01,2.192,
1994-02,2.175,
1994-03,2.593,
1994-04,2.935,
1994-05,2.586,
1994-06,2.945,
1994-07,3.202,
1994-08,3.226,
1994-09,3.553,
1994-10,3.631,
1994-11,3.649,
1994-12,3.411,
1995-01,3.082,
1995-02,3.326,
1995-03,3.553,
1995-04,3.399,
1995-05,4.079,
1995-06,3.839,
1995-07,4.523,
1995-08,4.212,
1995-09,4.284,
1995-10,4.063,
1995-11,3.361,
1995-12,3.136,
1996-01,3.174,
1996-02,3.059,
1996-03,2.727,
1996-04,3.319,
1996-05,3.075,
1996-06,3.267,
1996-07,3.155,
1996-08,3.103,
1996-09,3.243,
1996-10,3.169,
1996-11,3.618,
1996-12,3.452,
1997-01,3.457,
1997-02,3.220,
1997-03,3.345,
1997-04,3.990,
1997-05,3.951,
1997-06,3.534,
1997-07,3.206,
1997-08,2.873,
1997-09,3.185,
1997-10,2.757,
1997-11,2.576,
1997-12,2.967,
1998-01,3.030,
1998-02,3.146,
1998-03,2.948,
1998-04,2.736,
1998-05,3.144,
1998-06,3.240,
1998-07,2.868,
1998-08,2.290,
1998-09,2.491,
1998-10,2.509,
1998-11,2.707,
1998-12,2.435,
1999-01,2.411,
1999-02,2.344,
1999-03,2.742,
1999-04,3.295,
1999-05,3.166,
1999-06,3.514,
1999-07,3.464,
1999-08,3.263,
1999-09,3.645,
1999-10,3.362,
1999-11,3.516,
1999-12,3.162,
2000-01,3.632,
2000-02,3.442,
2000-03,5.029,
2000-04,5.712,
2000-05,7.339,
2000-06,7.106,
2000-07,7.364,
2000-08,8.715,
2000-09,9.088,
2000-10,9.799,
2000-11,9.074,
2000-12,8.140,
2001-01,8.529,
2001-02,9.342,
2001-03,10.257,
2001-04,10.657,
2001-05,11.007,
2001-06,10.079,
2001-07,9.422,
2001-08,9.530,
2001-09,9.667,
2001-10,9.553,
2001-11,5.121,
2001-12,6.595,
2002-01,5.481,
2002-02,4.060,
2002-03,3.926,
2002-04,5.075,
2002-05,3.271,
2002-06,3.301,
2002-07,2.774,
2002-08,2.539,
2002-09,3.003,
2002-10,2.640,
2002-11,2.613,
2002-12,2.396,
2003-01,3.128,
2003-02,3.702,
2003-03,4.189,
2003-04,3.443,
2003-05,3.550,
2003-06,3.667,
2003-07,3.619,
2003-08,3.237,
2003-09,3.703,
2003-10,4.396,
2003-11,4.209,
2003-12,3.119,
2004-01,3.568,
2004-02,5.495,
2004-03,5.341,
2004-04,5.309,
2004-05,5.198,
2004-06,5.113,
2004-07,5.512,
2004-08,3.371,
2004-09,3.276,
2004-10,3.565,
2004-11,3.331,
2004-12,3.871,
2005-01,3.838,
2005-02,3.898,
2005-03,3.562,
2005-04,3.475,
2005-05,3.376,
2005-06,3.393,
2005-07,3.386,
2005-08,3.670,
2005-09,3.553,
2005-10,4.245,
2005-11,4.507,
2005-12,3.592,
2006-01,3.603,
2006-02,4.355,
2006-03,3.650,
2006-04,3.952,
2006-05,3.910,
2006-06,4.244,
2006-07,4.199,
2006-08,4.082,
2006-09,4.528,
2006-10,4.278,
2006-11,4.419,
2006-12,4.118,
2007-01,4.229,
2007-02,4.153,
2007-03,3.525,
2007-04,3.013,
2007-05,3.324,
2007-06,3.582,
2007-07,3.165,
2007-08,2.626,
2007-09,2.551,
2007-10,2.521,
2007-11,2.530,
2007-12,2.602,
2008-01,2.700,
2008-02,2.794,
2008-03,2.703,
2008-04,3.398,
2008-05,3.432,
2008-06,3.296,
2008-07,3.442,
2008-08,3.523,
2008-09,5.306,
2008-10,5.352,
2008-11,5.176,
2008-12,5.456,
2009-01,5.398,
2009-02,5.271,
2009-03,5.232,
2009-04,5.288,
2009-05,5.267,
2009-06,5.511,
2009-07,5.158,
2009-08,5.170,
2009-09,6.310,
2009-10,6.107,
2009-11,6.090,
2009-12,5.451,
2010-01,6.087,
2010-02,5.977,
2010-03,5.769,
2010-04,5.924,
2010-05,6.113,
2010-06,6.154,
2010-07,6.395,
2010-08,6.422,
2010-09,5.960,
2010-10,6.421,
2010-11,6.497,
2010-12,6.726,
2011-01,6.683,
2011-02,6.499,
2011-03,6.426,
2011-04,6.513,
2011-05,6.482,
2011-06,6.443,
2011-07,6.701,
2011-08,6.680,
2011-09,6.690,
2011-10,6.632,
2011-11,7.238,
2011-12,7.020,
2012-01,7.125,
2012-02,7.214,
2012-03,7.144,
2012-04,7.672,
2012-05,7.780,
2012-06,8.037,
2012-07,8.966,
2012-08,8.636,
2012-09,8.890,
2012-10,8.784,
2012-11,8.552,
2012-12,5.958,
2013-01,5.510,
2013-02,5.625,
2013-03,5.785,
2013-04,5.726,
2013-05,5.738,
2013-06,5.937,
2013-07,5.471,
2013-08,5.717,
2013-09,5.959,
2013-10,6.295,
2013-11,6.906,
2013-12,5.749,
2014-01,5.808,
2014-02,5.716,
2014-03,6.490,
2014-04,6.615,
2014-05,6.853,
2014-06,7.212,
2014-07,7.486,
2014-08,7.651,
2014-09,7.173,
2014-10,7.526,
2014-11,7.333,
2014-12,7.210,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
