"",BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Assets - Positions - Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:26,
1999-10,387211,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,443956,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,524993,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,617674,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,677359,
2004-01,701301,
2004-04,723972,
2004-07,737244,
2004-10,762146,
2005-01,823780,
2005-04,878919,
2005-07,890452,
2005-10,861186,
2006-01,953743,
2006-04,983052,
2006-07,967355,
2006-10,1003870,
2007-01,1020664,
2007-04,1078681,
2007-07,1122835,
2007-10,1106699,
2008-01,1117751,
2008-04,1109031,
2008-07,1171817,
2008-10,1132672,
2009-01,1059455,
2009-04,1037753,
2009-07,969156,
2009-10,987723,
2010-01,980908,
2010-04,1021852,
2010-07,967107,
2010-10,894202,
2011-01,849135,
2011-04,859837,
2011-07,902992,
2011-10,871984,
2012-01,869010,
2012-04,854820,
2012-07,866150,
2012-10,814539,
2013-01,812223,
2013-04,817691,
2013-07,787918,
2013-10,782918,
2014-01,805163,
2014-04,846358,
2014-07,873415,
