"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:06,
1991-01,142.983,
1991-02,104.497,
1991-03,72.998,
1991-04,164.124,
1991-05,186.175,
1991-06,177.352,
1991-07,178.985,
1991-08,159.985,
1991-09,161.610,
1991-10,194.514,
1991-11,104.714,
1991-12,33.781,
1992-01,-56.656,
1992-02,-107.308,
1992-03,-203.121,
1992-04,-39.327,
1992-05,-16.709,
1992-06,-89.346,
1992-07,-192.630,
1992-08,-22.614,
1992-09,-40.976,
1992-10,-81.704,
1992-11,-44.334,
1992-12,-236.101,
1993-01,-57.107,
1993-02,45.314,
1993-03,-148.826,
1993-04,5.926,
1993-05,27.783,
1993-06,-25.294,
1993-07,1.068,
1993-08,17.900,
1993-09,30.532,
1993-10,33.261,
1993-11,30.062,
1993-12,-256.957,
1994-01,41.812,
1994-02,-87.211,
1994-03,-17.930,
1994-04,82.297,
1994-05,28.967,
1994-06,-64.552,
1994-07,56.231,
1994-08,94.319,
1994-09,33.406,
1994-10,28.128,
1994-11,58.929,
1994-12,-298.151,
1995-01,81.648,
1995-02,40.987,
1995-03,59.966,
1995-04,92.834,
1995-05,67.304,
1995-06,95.822,
1995-07,62.815,
1995-08,112.648,
1995-09,67.242,
1995-10,99.598,
1995-11,-3.526,
1995-12,45.153,
1996-01,213.677,
1996-02,249.557,
1996-03,329.452,
1996-04,359.698,
1996-05,354.754,
1996-06,254.327,
1996-07,365.111,
1996-08,369.067,
1996-09,381.231,
1996-10,356.228,
1996-11,353.924,
1996-12,256.885,
1997-01,195.584,
1997-02,187.375,
1997-03,159.828,
1997-04,239.130,
1997-05,257.215,
1997-06,198.066,
1997-07,243.218,
1997-08,244.665,
1997-09,216.202,
1997-10,253.796,
1997-11,180.299,
1997-12,187.294,
1998-01,190.500,
1998-02,-8.486,
1998-03,142.390,
1998-04,418.442,
1998-05,125.863,
1998-06,400.664,
1998-07,384.076,
1998-08,344.127,
1998-09,415.460,
1998-10,-364.852,
1998-11,418.423,
1998-12,-561.592,
1999-01,163.811,
1999-02,192.397,
1999-03,-258.731,
1999-04,-56.385,
1999-05,206.204,
1999-06,184.413,
1999-07,129.645,
1999-08,266.464,
1999-09,195.390,
1999-10,274.662,
1999-11,263.123,
1999-12,106.007,
2000-01,-208.978,
2000-02,-325.465,
2000-03,-421.899,
2000-04,-444.566,
2000-05,-401.041,
2000-06,-719.761,
2000-07,-407.743,
2000-08,-269.403,
2000-09,-360.951,
2000-10,-374.000,
2000-11,-215.053,
2000-12,-1056.589,
2001-01,-473.329,
2001-02,-4935.974,
2001-03,-1909.420,
2001-04,-1206.517,
2001-05,-1719.702,
2001-06,-1369.326,
2001-07,-840.801,
2001-08,-747.725,
2001-09,-1063.918,
2001-10,-892.171,
2001-11,-543.409,
2001-12,-4083.382,
2002-01,-787.234,
2002-02,25.771,
2002-03,-1278.559,
2002-04,-828.430,
2002-05,-2238.230,
2002-06,-766.999,
2002-07,-698.222,
2002-08,-464.427,
2002-09,-533.548,
2002-10,-962.720,
2002-11,-1091.800,
2002-12,-3644.996,
2003-01,-19.331,
2003-02,135.847,
2003-03,-809.977,
2003-04,-133.829,
2003-05,-822.625,
2003-06,-539.501,
2003-07,-43.840,
2003-08,-281.917,
2003-09,129.812,
2003-10,871.039,
2003-11,-176.380,
2003-12,-2319.354,
2004-01,2495.677,
2004-02,2157.486,
2004-03,1581.334,
2004-04,1232.633,
2004-05,391.735,
2004-06,1257.342,
2004-07,1264.495,
2004-08,1979.537,
2004-09,2090.178,
2004-10,2288.494,
2004-11,2606.163,
2004-12,-546.476,
2005-01,2754.902,
2005-02,2741.548,
2005-03,908.303,
2005-04,1441.365,
2005-05,922.794,
2005-06,1336.261,
2005-07,2210.875,
2005-08,2441.551,
2005-09,1487.052,
2005-10,3018.687,
2005-11,3209.377,
2005-12,-1844.708,
2006-01,3140.204,
2006-02,3281.648,
2006-03,1799.668,
2006-04,2319.905,
2006-05,1052.462,
2006-06,1726.998,
2006-07,2951.224,
2006-08,3321.768,
2006-09,2415.988,
2006-10,3830.447,
2006-11,4050.749,
2006-12,-1605.343,
2007-01,4643.260,
2007-02,4406.752,
2007-03,3446.476,
2007-04,4127.347,
2007-05,2208.568,
2007-06,2385.476,
2007-07,3281.341,
2007-08,3602.619,
2007-09,1671.670,
2007-10,1592.626,
2007-11,2013.315,
2007-12,-2514.348,
2008-01,-97.038,
2008-02,759.942,
2008-03,-2114.941,
2008-04,-2476.174,
2008-05,-3492.204,
2008-06,-2909.102,
2008-07,-1718.639,
2008-08,-906.258,
2008-09,-1884.740,
2008-10,-656.551,
2008-11,-98.897,
2008-12,-5416.546,
2009-01,1835.517,
2009-02,881.128,
2009-03,1022.560,
2009-04,-100.640,
2009-05,1220.060,
2009-06,104.460,
2009-07,1745.861,
2009-08,2836.559,
2009-09,2884.034,
2009-10,2485.975,
2009-11,2491.783,
2009-12,-1633.063,
2010-01,704.050,
2010-02,3181.372,
2010-03,1683.427,
2010-04,1268.702,
2010-05,879.819,
2010-06,660.901,
2010-07,3163.021,
2010-08,3467.602,
2010-09,1856.797,
2010-10,2958.203,
2010-11,3656.651,
2010-12,-3518.889,
2011-01,4339.385,
2011-02,4484.731,
2011-03,1154.127,
2011-04,3519.690,
2011-05,1729.161,
2011-06,2375.490,
2011-07,3245.017,
2011-08,2995.118,
2011-09,3789.318,
2011-10,4596.045,
2011-11,3890.515,
2011-12,-4769.402,
2012-01,4610.003,
2012-02,3690.791,
2012-03,2603.851,
2012-04,2976.797,
2012-05,1218.560,
2012-06,1666.268,
2012-07,3613.367,
2012-08,3483.975,
2012-09,2708.456,
2012-10,4668.033,
2012-11,1318.480,
2012-12,-866.270,
2013-01,3954.190,
2013-02,4594.896,
2013-03,1604.143,
2013-04,2707.055,
2013-05,972.828,
2013-06,1427.567,
2013-07,2272.137,
2013-08,3650.900,
2013-09,2744.496,
2013-10,4250.797,
2013-11,2048.232,
2013-12,-173.270,
2014-01,4162.045,
2014-02,4037.833,Provisional value
2014-03,3149.037,Provisional value
2014-04,3757.888,Provisional value
2014-05,1739.092,Provisional value
2014-06,2954.692,Provisional value
2014-07,3172.020,Provisional value
2014-08,3449.226,Provisional value
2014-09,1469.679,
2014-10,3687.311,
2014-11,4399.984,
2014-12,-5680.004,Provisional value
