"",BBK01.OEHI04J,BBK01.OEHI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:44,
2002-01,0.555,
2002-04,0.590,
2002-07,0.563,
2002-10,0.510,
2003-01,0.528,
2003-04,0.511,
2003-07,0.543,
2003-10,0.474,
2004-01,0.510,
2004-04,0.569,
2004-07,0.479,
2004-10,0.448,
2005-01,0.474,
2005-04,0.576,
2005-07,0.488,
2005-10,0.370,
2006-01,0.497,
2006-04,0.508,
2006-07,0.439,
2006-10,0.443,
2007-01,0.439,
2007-04,0.632,
2007-07,0.620,
2007-10,0.542,
2008-01,0.722,
2008-04,1.082,
2008-07,0.909,
2008-10,0.800,
2009-01,0.639,
2009-04,0.649,
2009-07,0.566,
2009-10,0.387,
2010-01,0.397,
2010-04,0.378,
2010-07,0.343,
2010-10,0.419,
2011-01,0.491,
2011-04,0.481,
2011-07,0.527,
2011-10,0.505,
2012-01,0.563,
2012-04,0.496,
2012-07,0.445,
2012-10,0.411,
2013-01,0.435,
2013-04,0.607,
2013-07,0.412,
2013-10,0.231,
2014-01,0.298,
2014-04,0.279,
2014-07,0.252,
