"",BBFB1.Q.N.DE.TR.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:50,
1991-01,1081.660,
1991-04,887.604,
1991-07,855.187,
1991-10,1000.041,
1992-01,876.321,
1992-04,814.828,
1992-07,845.191,
1992-10,1003.741,
1993-01,999.417,
1993-04,1079.934,
1993-07,1150.648,
1993-10,1404.229,
1994-01,1027.660,
1994-04,668.117,
1994-07,657.776,
1994-10,927.633,
1995-01,817.912,
1995-04,1235.362,
1995-07,889.938,
1995-10,1429.186,
1996-01,1296.519,
1996-04,1526.683,
1996-07,1523.990,
1996-10,1716.311,
1997-01,1469.528,
1997-04,1799.164,
1997-07,1956.766,
1997-10,2151.029,
1998-01,1815.691,
1998-04,1920.742,
1998-07,1796.003,
1998-10,1657.288,
1999-01,1447.289,
1999-04,1395.808,
1999-07,1441.265,
1999-10,1701.688,
2000-01,1683.192,
2000-04,2105.672,
2000-07,2310.129,
2000-10,2547.648,
2001-01,1587.741,
2001-04,1313.912,
2001-07,1419.020,
2001-10,1514.683,
2002-01,1583.927,
2002-04,1874.429,
2002-07,1885.987,
2002-10,2080.908,
2003-01,1879.751,
2003-04,2111.436,
2003-07,2588.194,
2003-10,2551.732,
2004-01,2929.669,
2004-04,3372.730,
2004-07,3219.713,
2004-10,3175.128,
2005-01,3154.505,
2005-04,3586.937,
2005-07,3820.412,
2005-10,3719.954,
2006-01,3669.889,
2006-04,3948.633,
2006-07,3917.788,
2006-10,3979.467,
2007-01,3465.859,
2007-04,3843.529,
2007-07,3985.635,
2007-10,4195.151,
2008-01,4481.443,
2008-04,4694.276,
2008-07,4404.183,
2008-10,3280.451,
2009-01,2749.633,
2009-04,3232.027,
2009-07,3719.830,
2009-10,3504.129,
2010-01,3725.444,
2010-04,4520.842,
2010-07,4562.200,
2010-10,5102.953,
2011-01,5554.997,
2011-04,5671.574,
2011-07,5109.082,
2011-10,4843.607,
2012-01,5038.166,
2012-04,5379.390,
2012-07,5602.647,
2012-10,5340.082,
2013-01,5799.526,
2013-04,6358.052,
2013-07,5462.861,
2013-10,5350.649,
2014-01,5217.832,Provisional value
2014-04,5011.391,Provisional value
2014-07,4941.311,Provisional value
