"",BBK01.OELK01N,BBK01.OELK01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:12,
2002-01,5.140,
2002-04,5.125,
2002-07,5.132,
2002-10,5.275,
2003-01,5.193,
2003-04,5.174,
2003-07,5.158,
2003-10,5.255,
2004-01,5.274,
2004-04,5.162,
2004-07,5.127,
2004-10,5.351,
2005-01,5.272,
2005-04,5.341,
2005-07,5.416,
2005-10,5.682,
2006-01,5.523,
2006-04,5.652,
2006-07,5.691,
2006-10,6.036,
2007-01,5.993,
2007-04,6.118,
2007-07,6.222,
2007-10,6.607,
2008-01,6.441,
2008-04,6.421,
2008-07,6.517,
2008-10,7.291,
2009-01,6.933,
2009-04,7.014,
2009-07,7.032,
2009-10,7.282,
2010-01,7.142,
2010-04,7.220,
2010-07,7.268,
2010-10,7.542,
2011-01,7.382,
2011-04,7.404,
2011-07,7.699,
2011-10,8.388,
2012-01,8.209,
2012-04,8.418,
2012-07,8.626,
2012-10,8.845,
2013-01,8.738,
2013-04,8.905,
2013-07,9.072,
2013-10,9.484,
2014-01,9.507,
2014-04,9.523,
2014-07,9.744,
