"",BBK01.OEAH65R,BBK01.OEAH65R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:54,
2002-01,0.235,
2002-04,0.257,
2002-07,0.278,
2002-10,0.296,
2003-01,0.277,
2003-04,0.261,
2003-07,0.245,
2003-10,0.248,
2004-01,0.247,
2004-04,0.239,
2004-07,0.243,
2004-10,0.247,
2005-01,0.256,
2005-04,0.257,
2005-07,0.251,
2005-10,0.257,
2006-01,0.286,
2006-04,0.303,
2006-07,0.329,
2006-10,0.377,
2007-01,0.416,
2007-04,0.443,
2007-07,0.480,
2007-10,0.530,
2008-01,0.537,
2008-04,0.546,
2008-07,0.577,
2008-10,0.591,
2009-01,0.543,
2009-04,0.449,
2009-07,0.351,
2009-10,0.274,
2010-01,0.224,
2010-04,0.206,
2010-07,0.208,
2010-10,0.205,
2011-01,0.214,
2011-04,0.216,
2011-07,0.215,
2011-10,0.242,
2012-01,0.223,
2012-04,0.210,
2012-07,0.182,
2012-10,0.175,
2013-01,0.156,
2013-04,0.154,
2013-07,0.148,
2013-10,0.138,
2014-01,0.131,
2014-04,0.137,
2014-07,0.129,
