"",BBK01.OEHB18M,BBK01.OEHB18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:02,
2002-01,1.457,
2002-04,1.487,
2002-07,1.540,
2002-10,1.490,
2003-01,1.408,
2003-04,1.438,
2003-07,1.466,
2003-10,1.367,
2004-01,1.279,
2004-04,1.271,
2004-07,1.287,
2004-10,1.221,
2005-01,1.156,
2005-04,1.179,
2005-07,1.221,
2005-10,1.160,
2006-01,1.091,
2006-04,1.126,
2006-07,1.130,
2006-10,1.054,
2007-01,0.997,
2007-04,1.001,
2007-07,1.003,
2007-10,0.985,
2008-01,0.962,
2008-04,0.961,
2008-07,0.995,
2008-10,0.983,
2009-01,0.956,
2009-04,0.960,
2009-07,0.909,
2009-10,0.830,
2010-01,0.805,
2010-04,0.803,
2010-07,0.834,
2010-10,0.791,
2011-01,0.776,
2011-04,0.776,
2011-07,0.794,
2011-10,0.755,
2012-01,0.729,
2012-04,0.723,
2012-07,0.736,
2012-10,0.707,
2013-01,0.682,
2013-04,0.689,
2013-07,0.731,
2013-10,0.712,
2014-01,0.681,
2014-04,0.676,
2014-07,0.699,
