"",BBK01.OEAH88H,BBK01.OEAH88H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:15,
2002-01,12.884,
2002-04,9.629,
2002-07,10.374,
2002-10,8.572,
2003-01,9.977,
2003-04,8.576,
2003-07,7.834,
2003-10,8.449,
2004-01,8.064,
2004-04,8.315,
2004-07,8.641,
2004-10,11.075,
2005-01,7.826,
2005-04,8.234,
2005-07,9.050,
2005-10,9.673,
2006-01,8.872,
2006-04,7.717,
2006-07,8.542,
2006-10,8.512,
2007-01,10.581,
2007-04,9.173,
2007-07,10.871,
2007-10,12.486,
2008-01,10.699,
2008-04,9.870,
2008-07,10.300,
2008-10,7.784,
2009-01,6.531,
2009-04,6.446,
2009-07,7.855,
2009-10,7.709,
2010-01,12.122,
2010-04,13.202,
2010-07,12.125,
2010-10,7.240,
2011-01,7.822,
2011-04,7.798,
2011-07,7.078,
2011-10,5.299,
2012-01,4.019,
2012-04,6.880,
2012-07,4.432,
2012-10,4.162,
2013-01,3.060,
2013-04,2.815,
2013-07,3.762,
2013-10,5.248,
2014-01,4.598,
2014-04,3.496,
2014-07,2.788,
