"",BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:49,
1991-01,88.918,
1991-04,42.831,
1991-07,2.337,
1991-10,-28.444,
1992-01,32.802,
1992-04,66.100,
1992-07,2.333,
1992-10,229.550,
1993-01,45.680,
1993-04,346.427,
1993-07,321.670,
1993-10,322.673,
1994-01,-389.169,
1994-04,-305.680,
1994-07,-275.344,
1994-10,112.362,
1995-01,227.014,
1995-04,63.628,
1995-07,355.542,
1995-10,112.921,
1996-01,239.971,
1996-04,474.783,
1996-07,82.560,
1996-10,318.389,
1997-01,116.195,
1997-04,403.609,
1997-07,154.086,
1997-10,447.442,
1998-01,332.897,
1998-04,250.549,
1998-07,85.762,
1998-10,109.086,
1999-01,355.893,
1999-04,91.231,
1999-07,562.309,
1999-10,471.768,
2000-01,391.217,
2000-04,556.555,
2000-07,325.587,
2000-10,441.333,
2001-01,-459.921,
2001-04,-700.455,
2001-07,34.216,
2001-10,177.646,
2002-01,-428.205,
2002-04,-10.158,
2002-07,-200.161,
2002-10,58.536,
2003-01,148.042,
2003-04,206.987,
2003-07,43.022,
2003-10,26.057,
2004-01,211.488,
2004-04,-14.666,
2004-07,221.512,
2004-10,-341.204,
2005-01,37.926,
2005-04,141.235,
2005-07,129.323,
2005-10,845.974,
2006-01,598.831,
2006-04,698.741,
2006-07,-46.419,
2006-10,-541.150,
2007-01,-280.723,
2007-04,745.721,
2007-07,954.499,
2007-10,-23.712,
2008-01,781.712,
2008-04,540.085,
2008-07,29.892,
2008-10,-1263.042,
2009-01,-332.506,
2009-04,201.343,
2009-07,-652.639,
2009-10,412.790,
2010-01,212.209,
2010-04,576.553,
2010-07,-128.592,
2010-10,506.682,
2011-01,461.994,
2011-04,986.356,
2011-07,741.688,
2011-10,117.262,
2012-01,1578.083,
2012-04,-914.322,
2012-07,718.129,
2012-10,1055.571,
2013-01,999.712,
2013-04,491.644,
2013-07,590.692,
2013-10,731.933,
2014-01,488.573,Provisional value
2014-04,1342.303,Provisional value
2014-07,616.361,Provisional value
2014-10,-310.300,Provisional value
