"",BBK01.OEBK04Q,BBK01.OEBK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:12,
2002-01,0.338,
2002-04,0.346,
2002-07,0.359,
2002-10,0.354,
2003-01,0.313,
2003-04,0.285,
2003-07,0.267,
2003-10,0.280,
2004-01,0.307,
2004-04,0.285,
2004-07,0.321,
2004-10,0.291,
2005-01,0.272,
2005-04,0.242,
2005-07,0.239,
2005-10,0.264,
2006-01,0.317,
2006-04,0.383,
2006-07,0.452,
2006-10,0.490,
2007-01,0.523,
2007-04,0.550,
2007-07,0.609,
2007-10,0.657,
2008-01,0.689,
2008-04,0.700,
2008-07,0.752,
2008-10,0.651,
2009-01,0.422,
2009-04,0.349,
2009-07,0.322,
2009-10,0.222,
2010-01,0.176,
2010-04,0.162,
2010-07,0.142,
2010-10,0.211,
2011-01,0.201,
2011-04,0.202,
2011-07,0.165,
2011-10,0.142,
2012-01,0.157,
2012-04,0.123,
2012-07,0.104,
2012-10,0.098,
2013-01,0.099,
2013-04,0.098,
2013-07,0.109,
2013-10,0.115,
2014-01,0.113,
2014-04,0.114,
2014-07,0.116,
