"",BBK01.OEAE17Q,BBK01.OEAE17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:24,
2002-01,0.111,
2002-04,0.136,
2002-07,0.240,
2002-10,0.188,
2003-01,0.147,
2003-04,0.155,
2003-07,0.095,
2003-10,0.123,
2004-01,0.077,
2004-04,0.159,
2004-07,0.199,
2004-10,0.264,
2005-01,0.217,
2005-04,0.328,
2005-07,0.366,
2005-10,0.415,
2006-01,0.242,
2006-04,0.384,
2006-07,0.529,
2006-10,0.478,
2007-01,0.457,
2007-04,0.513,
2007-07,0.510,
2007-10,0.528,
2008-01,0.338,
2008-04,0.379,
2008-07,0.351,
2008-10,0.109,
2009-01,0.081,
2009-04,0.065,
2009-07,0.046,
2009-10,0.043,
2010-01,0.034,
2010-04,0.038,
2010-07,0.027,
2010-10,0.024,
2011-01,0.020,
2011-04,0.022,
2011-07,0.015,
2011-10,0.013,
2012-01,0.020,
2012-04,0.024,
2012-07,0.024,
2012-10,0.017,
2013-01,0.021,
2013-04,0.024,
2013-07,0.024,
2013-10,0.033,
2014-01,0.036,
2014-04,0.042,
2014-07,0.033,
