"",BBK01.OEXJ02I,BBK01.OEXJ02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:29,
2002-01,4.192,
2002-04,2.962,
2002-07,3.498,
2002-10,4.174,
2003-01,4.084,
2003-04,4.567,
2003-07,3.164,
2003-10,2.360,
2004-01,2.699,
2004-04,3.048,
2004-07,3.116,
2004-10,2.671,
2005-01,2.797,
2005-04,2.898,
2005-07,2.918,
2005-10,2.576,
2006-01,2.546,
2006-04,2.845,
2006-07,1.547,
2006-10,2.980,
2007-01,2.612,
2007-04,2.386,
2007-07,2.749,
2007-10,2.237,
2008-01,2.110,
2008-04,1.890,
2008-07,1.837,
2008-10,2.228,
2009-01,3.525,
2009-04,3.886,
2009-07,4.176,
2009-10,4.387,
2010-01,4.254,
2010-04,4.231,
2010-07,4.306,
2010-10,4.354,
2011-01,4.210,
2011-04,3.814,
2011-07,3.985,
2011-10,4.231,
2012-01,4.503,
2012-04,5.132,
2012-07,5.647,
2012-10,5.484,
2013-01,5.746,
2013-04,5.869,
2013-07,6.199,
2013-10,6.863,
2014-01,6.775,
2014-04,6.275,
2014-07,6.962,
