"",BBK01.OEAH61M,BBK01.OEAH61M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:58,
2002-01,17.587,
2002-04,17.584,
2002-07,17.627,
2002-10,18.269,
2003-01,18.462,
2003-04,18.508,
2003-07,18.664,
2003-10,19.326,
2004-01,19.558,
2004-04,19.825,
2004-07,19.865,
2004-10,20.532,
2005-01,21.181,
2005-04,21.156,
2005-07,21.800,
2005-10,22.375,
2006-01,22.586,
2006-04,22.603,
2006-07,22.438,
2006-10,22.741,
2007-01,22.767,
2007-04,22.685,
2007-07,22.781,
2007-10,23.365,
2008-01,23.625,
2008-04,23.723,
2008-07,23.967,
2008-10,24.679,
2009-01,24.620,
2009-04,24.721,
2009-07,24.164,
2009-10,24.358,
2010-01,23.997,
2010-04,23.530,
2010-07,23.474,
2010-10,23.890,
2011-01,24.097,
2011-04,24.380,
2011-07,24.454,
2011-10,25.034,
2012-01,25.199,
2012-04,25.116,
2012-07,24.905,
2012-10,25.161,
2013-01,24.942,
2013-04,24.797,
2013-07,24.718,
2013-10,25.010,
2014-01,25.040,
2014-04,24.974,
2014-07,24.844,
