"",BBK01.OEAF12P,BBK01.OEAF12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:12,
2002-01,0.584,
2002-04,0.593,
2002-07,0.613,
2002-10,0.597,
2003-01,0.551,
2003-04,0.549,
2003-07,0.541,
2003-10,0.519,
2004-01,0.477,
2004-04,0.475,
2004-07,0.474,
2004-10,0.452,
2005-01,0.440,
2005-04,0.445,
2005-07,0.459,
2005-10,0.435,
2006-01,0.419,
2006-04,0.419,
2006-07,0.427,
2006-10,0.399,
2007-01,0.389,
2007-04,0.393,
2007-07,0.387,
2007-10,0.381,
2008-01,0.377,
2008-04,0.369,
2008-07,0.381,
2008-10,0.378,
2009-01,0.360,
2009-04,0.362,
2009-07,0.352,
2009-10,0.338,
2010-01,0.330,
2010-04,0.296,
2010-07,0.311,
2010-10,0.298,
2011-01,0.297,
2011-04,0.295,
2011-07,0.301,
2011-10,0.292,
2012-01,0.292,
2012-04,0.281,
2012-07,0.287,
2012-10,0.290,
2013-01,0.336,
2013-04,0.322,
2013-07,0.311,
2013-10,0.306,
2014-01,0.295,
2014-04,0.296,
2014-07,0.300,
