"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CZ.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CZ.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Czech Republic,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:45,
2009-09,546,
2009-10,619,
2009-11,629,
2009-12,644,
2010-01,623,
2010-02,694,
2010-03,703,
2010-04,786,
2010-05,831,
2010-06,952,
2010-07,981,
2010-08,1014,
2010-09,1136,
2010-10,1154,
2010-11,1133,
2010-12,1137,
2011-01,1140,
2011-02,1109,
2011-03,1078,
2011-04,1115,
2011-05,1132,
2011-06,1261,
2011-07,1280,
2011-08,1327,
2011-09,1342,
2011-10,1343,
2011-11,1321,
2011-12,1342,
2012-01,1358,
2012-02,1586,
2012-03,1748,
2012-04,1793,
2012-05,1827,
2012-06,1849,
2012-07,1977,
2012-08,2084,
2012-09,2072,
2012-10,2347,
2012-11,2390,
2012-12,2397,
2013-01,2297,
2013-02,2238,
2013-03,2237,
2013-04,2352,
2013-05,2438,
2013-06,2372,
2013-07,2373,
2013-08,2338,
2013-09,2249,
2013-10,2211,
2013-11,2183,
2013-12,2152,
2014-01,2142,
2014-02,2163,
2014-03,2152,
2014-04,2072,
2014-05,2040,
2014-06,2032,
2014-07,1999,
2014-08,1999,
2014-09,1970,
2014-10,2002,
2014-11,1980,
