"",BBK01.OEBB20U,BBK01.OEBB20U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:07,
2002-01,2.413,
2002-04,2.431,
2002-07,2.433,
2002-10,2.553,
2003-01,2.572,
2003-04,2.616,
2003-07,2.652,
2003-10,2.673,
2004-01,2.698,
2004-04,2.671,
2004-07,2.688,
2004-10,2.660,
2005-01,3.088,
2005-04,3.052,
2005-07,3.168,
2005-10,3.102,
2006-01,3.092,
2006-04,3.130,
2006-07,3.183,
2006-10,3.270,
2007-01,3.257,
2007-04,3.301,
2007-07,3.286,
2007-10,3.399,
2008-01,3.142,
2008-04,3.067,
2008-07,3.053,
2008-10,3.032,
2009-01,3.016,
2009-04,3.434,
2009-07,3.530,
2009-10,3.521,
2010-01,3.505,
2010-04,3.480,
2010-07,3.459,
2010-10,3.450,
2011-01,3.457,
2011-04,3.433,
2011-07,3.439,
2011-10,3.431,
2012-01,3.420,
2012-04,3.421,
2012-07,3.459,
2012-10,3.462,
2013-01,3.404,
2013-04,3.436,
2013-07,3.497,
2013-10,3.529,
2014-01,3.548,
2014-04,3.513,
2014-07,3.566,
