"",BBK01.OELJ03T,BBK01.OELJ03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:36,
2002-01,0.247,
2002-04,0.216,
2002-07,0.216,
2002-10,0.210,
2003-01,0.219,
2003-04,0.184,
2003-07,0.174,
2003-10,0.228,
2004-01,0.200,
2004-04,0.142,
2004-07,0.197,
2004-10,0.244,
2005-01,0.254,
2005-04,0.240,
2005-07,0.214,
2005-10,0.290,
2006-01,0.257,
2006-04,0.238,
2006-07,0.228,
2006-10,0.286,
2007-01,0.273,
2007-04,0.301,
2007-07,0.286,
2007-10,0.284,
2008-01,0.294,
2008-04,0.280,
2008-07,0.397,
2008-10,0.410,
2009-01,0.407,
2009-04,0.287,
2009-07,0.309,
2009-10,0.292,
2010-01,0.303,
2010-04,0.316,
2010-07,0.315,
2010-10,0.312,
2011-01,0.346,
2011-04,0.307,
2011-07,0.331,
2011-10,0.360,
2012-01,0.262,
2012-04,0.210,
2012-07,0.219,
2012-10,0.223,
2013-01,0.211,
2013-04,0.195,
2013-07,0.176,
2013-10,0.174,
2014-01,0.177,
2014-04,0.166,
2014-07,0.133,
