"",BBK01.TUE394,BBK01.TUE394_FLAGS
"",Excess of inter-MFI liabilities / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:16,
1997-09,-16420,
1997-10,-8758,
1997-11,10407,
1997-12,-23169,
1998-01,-56579,
1998-02,-44965,
1998-03,-17360,
1998-04,-33011,
1998-05,-2774,
1998-06,-5478,
1998-07,3465,
1998-08,-2140,
1998-09,20406,
1998-10,3543,
1998-11,32097,
1998-12,40313,
1999-01,-8492,
1999-02,6539,
1999-03,25310,
1999-04,13937,
1999-05,28869,
1999-06,26336,
1999-07,27564,
1999-08,14585,
1999-09,29871,
1999-10,35146,
1999-11,32227,
1999-12,31817,
2000-01,5535,
2000-02,19536,
2000-03,-3467,
2000-04,-20881,
2000-05,-7417,
2000-06,29732,
2000-07,25862,
2000-08,8806,
2000-09,10745,
2000-10,12527,
2000-11,401,
2000-12,11867,
2001-01,21052,
2001-02,-19173,
2001-03,-21579,
2001-04,-12209,
2001-05,-13191,
2001-06,-16820,
2001-07,-7353,
2001-08,-8565,
2001-09,18732,
2001-10,5467,
2001-11,10363,
2001-12,-8463,
2002-01,1996,
2002-02,1123,
2002-03,1282,
2002-04,-8869,
2002-05,-7257,
2002-06,10692,
2002-07,-2886,
2002-08,-182,
2002-09,-5005,
2002-10,3266,
2002-11,-3359,
2002-12,10804,
2003-01,9218,
2003-02,11795,
2003-03,13083,
2003-04,-21349,
2003-05,-5446,
2003-06,15331,
2003-07,5314,
2003-08,-3203,
2003-09,5635,
2003-10,9565,
2003-11,4868,
2003-12,8780,
2004-01,16263,
2004-02,21520,
2004-03,21233,
2004-04,16192,
2004-05,17179,
2004-06,16127,
2004-07,17403,
2004-08,20442,
2004-09,14606,
2004-10,20847,
2004-11,44192,
2004-12,33631,
2005-01,29291,
2005-02,21987,
2005-03,435,
2005-04,15592,
2005-05,-12120,
2005-06,-15427,
2005-07,-16227,
2005-08,1422,
2005-09,-18500,
2005-10,-11981,
2005-11,-5725,
2005-12,458,
2006-01,-14274,
2006-02,-14001,
2006-03,12869,
2006-04,-1168,
2006-05,-4674,
2006-06,4607,
2006-07,6346,
2006-08,1506,
2006-09,-6305,
2006-10,-10504,
2006-11,27744,
2006-12,-2210,
2007-01,2038,
2007-02,7040,
2007-03,7271,
2007-04,-10467,
2007-05,3685,
2007-06,-13510,
2007-07,-4643,
2007-08,-30492,
2007-09,-38561,
2007-10,-31530,
2007-11,-24980,
2007-12,-28162,
2008-01,-43981,
2008-02,-37586,
2008-03,-26493,
2008-04,-40000,
2008-05,-46865,
2008-06,-63285,
2008-07,-60258,
2008-08,-56025,
2008-09,-50805,
2008-10,-29755,
2008-11,-53264,
2008-12,-96814,
2009-01,-118238,
2009-02,-114476,
2009-03,-99337,
2009-04,-95719,
2009-05,-114645,
2009-06,-69024,
2009-07,-67406,
2009-08,-74719,
2009-09,-74552,
2009-10,-96420,
2009-11,-65597,
2009-12,-34142,
2010-01,-34728,
2010-02,-17213,
2010-03,-55038,
2010-04,-77754,
2010-05,-62841,
2010-06,-22504,
2010-07,-41561,
2010-08,-12182,
2010-09,-7258,
2010-10,6749,
2010-11,2686,
2010-12,18958,
2011-01,14070,
2011-02,27438,
2011-03,35170,
2011-04,-3111,
2011-05,-29914,
2011-06,-6774,
2011-07,-17095,
2011-08,-15057,
2011-09,-24095,
2011-10,-45305,
2011-11,-35402,
2011-12,-23770,
2012-01,-73911,
2012-02,-49189,
2012-03,-61282,
2012-04,-61944,
2012-05,-66005,
2012-06,-65194,
2012-07,-63170,
2012-08,-47016,
2012-09,-57246,
2012-10,-72976,
2012-11,-67443,
2012-12,-52105,
2013-01,-32625,
2013-02,-38320,
2013-03,-58901,
2013-04,-43113,
2013-05,-54606,
2013-06,-63239,
2013-07,-58994,
2013-08,-61525,
2013-09,-45058,
2013-10,-45110,
2013-11,-51866,
2013-12,-62605,
2014-01,-44836,
2014-02,-31380,
2014-03,-30002,
2014-04,-23116,
2014-05,-35634,
2014-06,-50425,
2014-07,-46081,
2014-08,-59077,
2014-09,-67619,
2014-10,-83384,
2014-11,-68478,
2014-12,-45920,
2015-01,-84630,
