"",BBK01.CEBEQC,BBK01.CEBEQC_FLAGS
"",short-term loans debtor: All sectors                   creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:15,
1991-01,0.5,
1991-04,0.6,
1991-07,0.7,
1991-10,0.7,
1992-01,0.8,
1992-04,0.8,
1992-07,0.9,
1992-10,1.0,
1993-01,1.0,
1993-04,1.1,
1993-07,1.2,
1993-10,1.2,
1994-01,1.3,
1994-04,1.4,
1994-07,1.5,
1994-10,1.5,
1995-01,1.9,
1995-04,1.9,
1995-07,2.0,
1995-10,2.0,
1996-01,2.0,
1996-04,2.0,
1996-07,2.0,
1996-10,2.0,
1997-01,2.0,
1997-04,2.0,
1997-07,2.0,
1997-10,2.0,
1998-01,2.0,
1998-04,2.0,
1998-07,2.0,
1998-10,2.0,
1999-01,2.0,
1999-04,2.0,
1999-07,2.1,
1999-10,2.1,
2000-01,2.1,
2000-04,2.1,
2000-07,2.1,
2000-10,2.1,
2001-01,2.1,
2001-04,2.1,
2001-07,2.1,
2001-10,1.8,
2002-01,2.1,
2002-04,2.1,
2002-07,2.1,
2002-10,2.1,
2003-01,2.1,
2003-04,2.1,
2003-07,2.1,
2003-10,2.1,
2004-01,2.1,
2004-04,2.1,
2004-07,2.1,
2004-10,2.0,
2005-01,1.7,
2005-04,1.6,
2005-07,5.2,
2005-10,1.3,
2006-01,1.3,
2006-04,1.7,
2006-07,3.2,
2006-10,2.4,
2007-01,1.4,
2007-04,2.5,
2007-07,3.1,
2007-10,4.4,
2008-01,2.9,
2008-04,7.3,
2008-07,5.8,
2008-10,16.2,
2009-01,15.6,
2009-04,16.3,
2009-07,21.5,
2009-10,19.0,
2010-01,19.9,
2010-04,29.2,
2010-07,23.4,
2010-10,24.7,
2011-01,14.9,
2011-04,31.1,
2011-07,22.6,
2011-10,10.7,
2012-01,13.1,
2012-04,32.3,
2012-07,20.6,
2012-10,24.0,
2013-01,19.7,
2013-04,29.7,
2013-07,11.0,
2013-10,18.9,
2014-01,15.7,
