"",BBEX3.M.KES.USD.CA.AA.A01,BBEX3.M.KES.USD.CA.AA.A01_FLAGS
"",Exchange rates (indicative rates *) for the US dollar in Kenya / USD 1 = KES ... (buying),
unit,KES (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:24,
1974-01,7.1406,
1974-02,7.1384,
1974-03,7.1384,
1974-04,7.1384,
1974-05,7.1384,
1974-06,7.1384,
1974-07,7.1384,
1974-08,7.1384,
1974-09,7.1384,
1974-10,7.1384,
1974-11,7.1384,
1974-12,7.1384,
1975-01,7.1384,
1975-02,7.1384,
1975-03,7.1384,
1975-04,7.1384,
1975-05,7.1384,
1975-06,7.1384,
1975-07,7.1384,
1975-08,7.1384,
1975-09,7.1384,
1975-10,8.1400,
1975-11,8.2400,
1975-12,8.2500,
1976-01,8.2600,
1976-02,8.2600,
1976-03,8.3500,
1976-04,8.3800,
1976-05,8.4400,
1976-06,8.4200,
1976-07,8.4200,
1976-08,8.3800,
1976-09,8.3600,
1976-10,8.3600,
1976-11,8.3800,
1976-12,8.3000,
1977-01,8.2000,
1977-02,8.3400,
1977-03,8.3200,
1977-04,8.3000,
1977-05,8.3000,
1977-06,8.2900,
1977-07,8.2000,
1977-08,8.3096,
1977-09,8.3073,
1977-10,8.2026,
1977-11,8.1355,
1977-12,7.9391,
1978-01,7.9459,
1978-02,7.8769,
1978-03,7.8131,
1978-04,7.8838,
1978-05,7.9271,
1978-06,7.7997,
1978-07,7.6853,
1978-08,7.6500,
1978-09,7.5396,
1978-10,7.1516,
1978-11,7.5962,
1978-12,7.3963,
1979-01,7.4982,
1979-02,7.4814,
1979-03,7.5013,
1979-04,7.5658,
1979-05,7.6283,
1979-06,7.4682,
1979-07,7.3875,
1979-08,7.4281,
1979-09,7.3283,
1979-10,7.5115,
1979-11,7.4053,
1979-12,7.3202,
1980-01,7.3296,
1980-02,7.3770,
1980-03,7.6852,
1980-04,7.4380,
1980-05,7.3379,
1980-06,7.3018,
1980-07,7.3049,
1980-08,7.3321,
1980-09,7.3561,
1980-10,7.4391,
1980-11,7.5380,
1980-12,7.5609,
1981-01,7.7158,
1981-02,8.2554,
1981-03,8.2789,
1981-04,8.4555,
1981-05,8.6610,
1981-06,8.8081,
1981-07,9.0004,
1981-08,8.9473,
1981-09,10.4246,
1981-10,10.3650,
1981-11,10.1057,
1981-12,10.2512,
1982-01,10.3951,
1982-02,10.5884,
1982-03,10.7196,
1982-04,10.5623,
1982-05,10.6498,
1982-06,10.9242,
1982-07,10.9259,
1982-08,11.0166,
1982-09,11.1271,
1982-10,11.2315,
1982-11,11.0529,
1982-12,12.7265,
1983-01,12.9217,
1983-02,12.8803,
1983-03,13.0150,
1983-04,12.9793,
1983-05,13.0311,
1983-06,13.2335,
1983-07,13.6370,
1983-08,13.8575,
1983-09,13.6446,
1983-10,13.5560,
1983-11,13.8208,
1983-12,13.7752,
1984-01,13.9174,
1984-02,13.5710,
1984-03,13.5974,
1984-04,13.8525,
1984-05,14.2054,
1984-06,14.4626,
1984-07,14.7329,
1984-08,14.6895,
1984-09,14.9414,
1984-10,15.1665,
1984-11,15.3662,
1984-12,15.7576,
1985-01,16.0320,
1985-02,16.4516,
1985-03,16.0766,
1985-04,16.1520,
1985-05,16.1244,
1985-06,16.1572,
1985-07,16.5542,
1985-08,17.0851,
1985-09,16.7245,
1985-10,16.5161,
1985-11,16.2601,
1985-12,16.2598,
1986-01,16.2163,
1986-02,15.9875,
1986-03,16.4620,
1986-04,15.9750,
1986-05,16.5551,
1986-06,16.3117,
1986-07,16.0368,
1986-08,16.0646,
1986-09,16.1451,
1986-10,16.2534,
1986-11,16.1912,
1986-12,16.0181,
1987-01,16.0356,
1987-02,16.2020,
1987-03,16.0164,
1987-04,16.1522,
1987-05,16.2812,
1987-06,16.4242,
1987-07,16.5969,
1987-08,16.4908,
1987-09,16.8535,
1987-10,16.9945,
1987-11,16.9555,
1987-12,16.4901,
1988-01,17.0176,
1988-02,17.1384,
1988-03,17.0015,
1988-04,17.0588,
1988-05,17.2556,
1988-06,18.0574,
1988-07,18.1080,
1988-08,18.3705,
1988-09,18.4782,
1988-10,18.1755,
1988-11,18.2061,
1988-12,18.5715,
1989-01,18.8324,
1989-02,18.9121,
1989-03,19.3547,
1989-04,19.5674,
1989-05,20.8274,
1989-06,21.0345,
1989-07,20.8127,
1989-08,21.3537,
1989-09,21.8213,
1989-10,21.7731,
1989-11,21.8275,
1989-12,21.5685,
1990-01,21.7117,
1990-02,22.0948,
1990-03,22.9420,
1990-04,23.1065,
1990-05,22.9858,
1990-06,23.0957,
1990-07,23.0682,
1990-08,23.1973,
1990-09,23.2993,
1990-10,23.1821,
1990-11,23.3654,
1990-12,24.0479,
1991-01,24.6837,
1991-02,25.1675,
1991-03,26.5562,
1991-04,27.7403,
1991-05,27.7695,
1991-06,28.6123,
1991-07,28.5625,
1991-08,29.0493,
1991-09,28.6213,
1991-10,28.7452,
1991-11,28.3239,
1991-12,28.0319,
1992-01,28.7715,
1992-02,29.2740,
1992-03,29.9806,
1992-04,31.4815,
1992-05,31.7212,
1992-06,32.2590,
1992-07,32.5837,
1992-08,32.8420,
1992-09,33.4858,
1992-10,35.2328,
1992-11,35.7405,
1992-12,36.2134,
1993-01,35.8685,
1993-02,36.4010,comment
1993-03,45.4600,comment
1993-04,59.7766,comment
1993-05,63.0841,comment
1993-06,64.9570,comment
1993-07,65.1551,comment
1993-08,64.9656,comment
1993-09,66.8526,comment
1993-10,68.9603,
1993-11,68.6458,
1993-12,68.0608,
1994-01,67.5926,
1994-02,67.0246,
1994-03,64.3664,
1994-04,60.9981,
1994-05,56.0655,
1994-06,55.7525,
1994-07,55.7625,
1994-08,54.8396,
1994-09,47.7944,
1994-10,40.5833,
1994-11,45.9611,
1994-12,44.6900,
1995-01,44.3722,
1995-02,44.3500,
1995-03,43.7500,
1995-04,46.0000,
1995-05,53.9000,
1995-06,54.6000,
1995-07,55.2611,comment
1995-08,55.2000,
1995-09,55.3500,
1995-10,55.3700,
1995-11,55.5500,
1995-12,55.7000,
1996-01,57.4000,
1996-02,58.2500,
1996-03,58.3000,
1996-04,58.3500,
1996-05,58.2100,
1996-06,57.9500,
1996-07,57.2300,
1996-08,56.5000,
1996-09,56.1000,
1996-10,55.7000,
1996-11,55.4000,
1996-12,54.9500,
1997-01,54.6389,
1997-02,54.9000,
1997-03,54.6344,
1997-04,55.2000,
1997-05,53.3411,
1997-06,54.2500,
1997-07,58.0000,
1997-08,65.0000,
1997-09,61.7000,
1997-10,63.7000,
1997-11,63.4500,
1997-12,62.6000,
1998-01,59.9000,
1998-02,59.7000,
1998-03,59.8500,
1998-04,59.4500,
1998-05,62.7500,
1998-06,59.4500,
1998-07,59.0000,
1998-08,59.4000,
1998-09,59.9000,
1998-10,59.7000,
1998-11,59.8000,
1998-12,61.5000,
1999-01,61.5500,
1999-02,63.5000,
1999-03,64.8000,
1999-04,67.0000,
1999-05,70.0000,
1999-06,72.8000,
1999-07,74.0000,
1999-08,75.0000,
1999-09,76.3000,
1999-10,75.1500,
1999-11,74.6500,
1999-12,72.8500,
2000-01,72.3000,
2000-02,73.2500,
2000-03,74.8000,
2000-04,74.7000,
2000-05,76.5500,
2000-06,77.8500,
2000-07,74.4500,
2000-08,77.1222,
2000-09,78.9000,
2000-10,79.2556,
2000-11,79.1300,
2000-12,77.7333,
2001-01,78.5222,
2001-02,77.9778,
2001-03,77.7167,
2001-04,77.4533,
2001-05,78.4500,
2001-06,78.9073,
2001-07,78.8211,
2001-08,78.8844,
2001-09,78.9500,
2001-10,79.0322,
2001-11,78.9267,
2001-12,78.5444,
2002-01,78.5478,
2002-02,78.0600,
2002-03,78.0178,
2002-04,78.2633,
2002-05,78.2911,
2002-06,78.7378,
2002-07,78.6889,
2002-08,78.6278,
2002-09,78.9756,
2002-10,79.6122,
2002-11,80.0567,
2002-12,76.9889,
2003-01,77.6944,
2003-02,76.5533,
2003-03,76.5911,
2003-04,74.4433,
2003-05,72.8333,
2003-06,73.9333,
2003-07,75.2867,
2003-08,76.5778,
2003-09,78.3167,
2003-10,78.3467,
2003-11,76.2500,
2003-12,76.0389,
2004-01,76.3722,
2004-02,76.3500,
2004-03,77.6622,
2004-04,78.2467,
2004-05,79.6500,
2004-06,79.4111,
2004-07,80.3000,
2004-08,79.9444,
2004-09,81.0144,
2004-10,81.1722,
2004-11,81.1278,
2004-12,77.2444,
2005-01,76.7078,
2005-02,75.5222,
2005-03,74.9167,
2005-04,76.5022,
2005-05,76.9567,
2005-06,76.1056,
2005-07,75.9444,
2005-08,75.5956,
2005-09,73.9778,
2005-10,73.5078,
2005-11,74.3856,
2005-12,72.2667,
2006-01,71.8822,
2006-02,73.1256,
2006-03,71.7944,
2006-04,71.0689,
2006-05,72.1922,
2006-06,73.7967,
2006-07,73.5389,
2006-08,72.5578,
2006-09,72.6178,
2006-10,71.9589,
2006-11,69.8700,
2006-12,69.3300,
2007-01,70.4756,
2007-02,69.6500,
2007-03,68.7144,
2007-04,68.2478,
2007-05,66.8933,
2007-06,66.4867,
2007-07,67.4389,
2007-08,66.9222,
2007-09,66.9100,
2007-10,67.0422,
2007-11,64.3578,
2007-12,62.4744,comment
2008-01,70.4722,
2008-02,68.8500,
2008-03,62.7756,
2008-04,62.0578,
2008-05,61.9622,
2008-06,64.6333,
2008-07,67.2600,
2008-08,68.6611,
2008-09,73.1411,
2008-10,79.5667,
2008-11,77.7889,
2008-12,77.6333,
2009-01,79.4578,
2009-02,79.6122,
2009-03,80.3500,
2009-04,78.5978,
2009-05,78.2833,
2009-06,77.0744,
2009-07,76.5389,
2009-08,76.1511,
2009-09,74.9078,
2009-10,75.1500,
2009-11,74.7961,
2009-12,75.7194,
2010-01,75.7861,
2010-02,76.8089,
2010-03,77.2494,
2010-04,77.1761,
2010-05,79.6583,
2010-06,81.8167,
2010-07,80.1367,
2010-08,80.9872,
2010-09,80.6822,
2010-10,80.6967,
2010-11,80.8728,
2010-12,80.6767,
2011-01,81.1806,
2011-02,82.2583,
2011-03,82.9056,
2011-04,83.3000,
2011-05,85.6322,
2011-06,89.7194,
2011-07,90.9972,
2011-08,93.5167,
2011-09,99.6861,
2011-10,99.4672,
2011-11,89.5889,
2011-12,84.9278,
2012-01,84.4611,
2012-02,82.8667,
2012-03,82.9639,
2012-04,83.1344,
2012-05,86.7250,
2012-06,84.1389,
2012-07,84.1250,
2012-08,84.2250,
2012-09,85.1861,
2012-10,85.0928,
2012-11,85.8556,
2012-12,85.9161,
2013-01,87.5139,
2013-02,86.1306,
2013-03,85.5539,
2013-04,83.7194,
2013-05,85.0361,
2013-06,85.9117,
2013-07,87.1839,
2013-08,87.5078,
2013-09,86.5417,
2013-10,85.0483,
2013-11,86.8944,
2013-12,86.2139,
2014-01,86.1306,
2014-02,86.2306,
2014-03,86.3622,
2014-04,86.7794,
2014-05,87.7056,
2014-06,87.5322,
2014-07,87.7222,
2014-08,88.3139,
2014-09,89.1906,
2014-10,89.2706,
2014-11,90.0917,
2014-12,90.5311,
2015-01,91.6028,
2015-02,91.3550,
"","General: * The exchange rates have been classified as indicative rates since November 1994. While the multiple exchange rate system was in place in 1993: official exchange rate. On 24 February 1993, a multiple exchange rate system was established with the introduction of legal free market rates. Official exchange rate: for the government's foreign exchangetransactions. Free market rate: for all other transactions. Although the unification of the system was announced in March 1993, the free market rates continued to exist (alongside the official exchange rate); they only began to be officially confirmed again at the end of June 1993. The exchange rate system was unified on 18 October 1993.  The term""Kenya pound"" is a unit of account equivalent to 20 Kenya shillings.",
"","Source: Central Bank of Kenya, Nairobi",
"","Comment on 1993-02: On 24 February 1993, a multiple exchange rate system was established with the introduction of legal free market rates.Free market rates (buying/selling) as at end-February 1993: USD 1 = KES 55.4400/58.0400.",
"","Comment on 1993-03: On 9 March 1993, the official exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling):  8 March 1993: USD 1 = KES 36.4130/36.5225  9 March 1993: USD 1 = KES 45.6313/45.7684 Calculated devaluation of the Kenya shilling for the official exchange rate: 20.2%.  Free market rates (buying/selling) on 22 March 1993: USD 1 = KES 67.6776/69.8868.",
"","Comment on 1993-04: On 20 April 1993, the official exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling):  15 April 1993: USD 1 = KES 45.5335/45.6704  20 April 1993: USD 1 = KES 59.9171/60.0972 Calculated devaluation of the Kenya shilling for the official exchange rate: 24.0%.  Free market rates as at the end of April 1993 were not available.",
"",Comment on 1993-05: Free market rates as at the end of May 1993 were not available.,
"",Comment on 1993-06: Free market rates (buying/selling) as at end-June 1993: USD 1 = KES 81.3500/82.4000.,
"",Comment on 1993-07: Free market rates (buying/selling) as at end-July 1993: USD 1 = KES 80.8500/83.1100.,
"",Comment on 1993-08: Free market rates (buying/selling) as at end-August 1993: USD 1 = KES 70.0400/74.2700.,
"",Comment on 1993-09: Free market rates (buying/selling) as at end-September 1993: USD 1 = KES 69.3100/70.3900.,
"",Comment on 1995-07: Exchange rate as of 26 July 1995.,
"",Comment on 2007-12: Exchange rate as of 20 December 2007.,
