"",BBK01.OEHO03S,BBK01.OEHO03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:34,
2002-01,0.852,
2002-04,0.644,
2002-07,0.673,
2002-10,0.636,
2003-01,0.755,
2003-04,0.616,
2003-07,0.617,
2003-10,0.632,
2004-01,0.743,
2004-04,0.643,
2004-07,0.598,
2004-10,0.577,
2005-01,0.646,
2005-04,0.545,
2005-07,0.544,
2005-10,0.556,
2006-01,0.640,
2006-04,0.572,
2006-07,0.558,
2006-10,0.660,
2007-01,0.768,
2007-04,0.587,
2007-07,0.589,
2007-10,0.637,
2008-01,0.770,
2008-04,0.641,
2008-07,0.672,
2008-10,0.668,
2009-01,0.725,
2009-04,0.556,
2009-07,0.560,
2009-10,0.582,
2010-01,0.515,
2010-04,0.424,
2010-07,0.414,
2010-10,0.546,
2011-01,0.546,
2011-04,0.536,
2011-07,0.500,
2011-10,0.509,
2012-01,0.565,
2012-04,0.516,
2012-07,0.499,
2012-10,0.532,
2013-01,0.535,
2013-04,0.435,
2013-07,0.416,
2013-10,0.417,
2014-01,0.468,
2014-04,0.430,
2014-07,0.419,
