"",BBFN1.M.DE.N.1.L.KY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Cayman Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:14,
1982-09,0.269,
1982-10,0.167,
1982-11,0.197,
1982-12,0.229,
1983-01,0.216,
1983-02,0.185,
1983-03,0.197,
1983-04,0.155,
1983-05,0.150,
1983-06,0.150,
1983-07,0.144,
1983-08,0.150,
1983-09,0.158,
1983-10,0.110,
1983-11,0.114,
1983-12,0.116,
1984-01,0.115,
1984-02,0.115,
1984-03,0.083,
1984-04,0.100,
1984-05,0.102,
1984-06,0.103,
1984-07,0.122,
1984-08,0.134,
1984-09,0.084,
1984-10,0.074,
1984-11,0.094,
1984-12,0.084,
1985-01,0.115,
1985-02,0.111,
1985-03,0.084,
1985-04,0.080,
1985-05,0.081,
1985-06,0.063,
1985-07,0.070,
1985-08,0.084,
1985-09,0.061,
1985-10,0.046,
1985-11,0.051,
1985-12,0.052,
1986-01,0.047,
1986-02,0.046,
1986-03,0.056,
1986-04,0.054,
1986-05,0.044,
1986-06,0.042,
1986-07,0.041,
1986-08,0.042,
1986-09,0.037,
1986-10,0.037,
1986-11,0.042,
1986-12,0.031,
1987-01,0.053,
1987-02,0.056,
1987-03,0.046,
1987-04,0.036,
1987-05,0.037,
1987-06,0.050,
1987-07,0.044,
1987-08,0.066,
1987-09,0.059,
1987-10,0.120,
1987-11,0.107,
1987-12,0.090,
1988-01,0.084,
1988-02,0.072,
1988-03,0.074,
1988-04,0.070,
1988-05,0.074,
1988-06,0.065,
1988-07,0.062,
1988-08,0.061,
1988-09,0.065,
1988-10,0.064,
1988-11,0.092,
1988-12,0.081,
1989-01,0.081,
1989-02,0.075,
1989-03,0.067,
1989-04,0.069,
1989-05,0.072,
1989-06,0.079,
1989-07,0.069,
1989-08,0.089,
1989-09,0.078,
1989-10,0.073,
1989-11,0.066,
1989-12,0.050,
1990-01,0.038,
1990-02,0.287,
1990-03,0.371,
1990-04,0.386,
1990-05,0.384,
1990-06,0.419,
1990-07,0.404,
1990-08,0.404,
1990-09,0.378,
1990-10,0.399,
1990-11,0.439,
1990-12,0.480,
1991-01,0.423,
1991-02,0.516,
1991-03,0.516,
1991-04,0.538,
1991-05,0.541,
1991-06,0.527,
1991-07,0.532,
1991-08,0.515,
1991-09,0.525,
1991-10,0.590,
1991-11,0.596,
1991-12,0.674,
1992-01,0.615,
1992-02,0.617,
1992-03,0.626,
1992-04,0.622,
1992-05,0.553,
1992-06,0.548,
1992-07,0.535,
1992-08,0.538,
1992-09,0.535,
1992-10,0.528,
1992-11,0.523,
1992-12,0.551,
1993-01,0.541,
1993-02,0.546,
1993-03,0.559,
1993-04,0.564,
1993-05,0.626,
1993-06,0.641,
1993-07,0.659,
1993-08,0.648,
1993-09,0.629,
1993-10,0.619,
1993-11,0.603,
1993-12,0.621,
1994-01,0.594,
1994-02,0.210,
1994-03,0.274,
1994-04,0.373,
1994-05,0.370,
1994-06,0.359,
1994-07,0.340,
1994-08,0.400,
1994-09,0.344,
1994-10,0.389,
1994-11,0.409,
1994-12,0.369,
1995-01,0.401,
1995-02,0.446,
1995-03,0.455,
1995-04,0.471,
1995-05,0.436,
1995-06,0.388,
1995-07,0.368,
1995-08,0.364,
1995-09,0.353,
1995-10,0.336,
1995-11,0.330,
1995-12,0.361,
1996-01,0.307,
1996-02,0.263,
1996-03,0.209,
1996-04,0.333,
1996-05,0.268,
1996-06,0.267,
1996-07,0.320,
1996-08,0.236,
1996-09,0.293,
1996-10,0.235,
1996-11,0.215,
1996-12,0.221,
1997-01,0.187,
1997-02,0.224,
1997-03,0.192,
1997-04,0.144,
1997-05,0.202,
