"",BBK01.OEAC45U,BBK01.OEAC45U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:25,
2002-01,0.063,
2002-04,0.062,
2002-07,0.060,
2002-10,0.057,
2003-01,0.058,
2003-04,0.056,
2003-07,0.054,
2003-10,0.052,
2004-01,0.052,
2004-04,0.048,
2004-07,0.048,
2004-10,0.052,
2005-01,0.050,
2005-04,0.050,
2005-07,0.048,
2005-10,0.050,
2006-01,0.054,
2006-04,0.055,
2006-07,0.047,
2006-10,0.046,
2007-01,0.046,
2007-04,0.046,
2007-07,0.042,
2007-10,0.039,
2008-01,0.037,
2008-04,0.037,
2008-07,0.037,
2008-10,0.037,
2009-01,0.040,
2009-04,0.038,
2009-07,0.041,
2009-10,0.041,
2010-01,0.046,
2010-04,0.048,
2010-07,0.047,
2010-10,0.045,
2011-01,0.046,
2011-04,0.046,
2011-07,0.044,
2011-10,0.049,
2012-01,0.052,
2012-04,0.053,
2012-07,0.048,
2012-10,0.041,
2013-01,0.043,
2013-04,0.041,
2013-07,0.041,
2013-10,0.042,
2014-01,0.039,
2014-04,0.041,
2014-07,0.045,
