"",BBFB1.Q.N.DE.A5.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:02,
1991-01,554.733,
1991-04,488.973,
1991-07,696.933,
1991-10,513.802,
1992-01,550.600,
1992-04,346.723,
1992-07,585.583,
1992-10,383.506,
1993-01,308.836,
1993-04,560.920,
1993-07,413.533,
1993-10,499.570,
1994-01,559.140,
1994-04,626.696,
1994-07,479.225,
1994-10,658.305,
1995-01,531.789,
1995-04,533.529,
1995-07,456.344,
1995-10,608.822,
1996-01,386.965,
1996-04,511.405,
1996-07,465.372,
1996-10,380.240,
1997-01,428.805,
1997-04,589.449,
1997-07,491.746,
1997-10,427.623,
1998-01,475.085,
1998-04,591.648,
1998-07,464.932,
1998-10,530.632,
1999-01,573.865,
1999-04,663.577,
1999-07,647.828,
1999-10,482.678,
2000-01,622.907,
2000-04,720.995,
2000-07,695.340,
2000-10,648.297,
2001-01,739.838,
2001-04,686.561,
2001-07,593.244,
2001-10,627.195,
2002-01,623.749,
2002-04,582.317,
2002-07,713.040,
2002-10,453.897,
2003-01,650.240,
2003-04,756.434,
2003-07,748.652,
2003-10,656.031,
2004-01,541.063,
2004-04,650.257,
2004-07,678.260,
2004-10,685.249,
2005-01,635.786,
2005-04,916.953,
2005-07,827.905,
2005-10,871.451,
2006-01,994.053,
2006-04,1437.097,
2006-07,1089.771,
2006-10,1058.803,
2007-01,1189.443,
2007-04,1356.326,
2007-07,1389.434,
2007-10,1404.945,
2008-01,1469.579,
2008-04,1461.827,
2008-07,1406.398,
2008-10,1484.846,
2009-01,1164.501,
2009-04,1096.662,
2009-07,1031.058,
2009-10,1050.069,
2010-01,1168.280,
2010-04,1277.872,
2010-07,1234.450,
2010-10,1149.192,
2011-01,1389.570,
2011-04,1528.798,
2011-07,1512.064,
2011-10,1582.115,
2012-01,1316.855,
2012-04,1588.869,
2012-07,1571.993,
2012-10,1303.810,
2013-01,1407.506,
2013-04,1505.471,
2013-07,1157.007,
2013-10,1112.907,
2014-01,1252.796,Provisional value
2014-04,1329.822,Provisional value
2014-07,1193.184,Provisional value
