"",BBK01.OEAD19K,BBK01.OEAD19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:39,
2002-01,0.098,
2002-04,0.100,
2002-07,0.100,
2002-10,0.059,
2003-01,0.064,
2003-04,0.061,
2003-07,0.052,
2003-10,0.051,
2004-01,0.040,
2004-04,0.036,
2004-07,0.054,
2004-10,0.044,
2005-01,0.030,
2005-04,0.046,
2005-07,0.048,
2005-10,0.052,
2006-01,0.046,
2006-04,0.061,
2006-07,0.053,
2006-10,0.053,
2007-01,0.036,
2007-04,0.097,
2007-07,0.074,
2007-10,0.083,
2008-01,0.091,
2008-04,0.042,
2008-07,0.032,
2008-10,0.033,
2009-01,0.142,
2009-04,0.043,
2009-07,0.032,
2009-10,0.022,
2010-01,0.024,
2010-04,0.019,
2010-07,0.019,
2010-10,0.014,
2011-01,0.026,
2011-04,0.029,
2011-07,0.037,
2011-10,0.027,
2012-01,0.040,
2012-04,0.042,
2012-07,0.063,
2012-10,0.061,
2013-01,0.087,
2013-04,0.049,
2013-07,0.044,
2013-10,0.032,
2014-01,0.033,
2014-04,0.082,
2014-07,0.081,
