"",BBK01.OECL04I,BBK01.OECL04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:38,
2002-01,3.550,
2002-04,3.290,
2002-07,2.598,
2002-10,2.795,
2003-01,2.789,
2003-04,2.454,
2003-07,2.257,
2003-10,1.955,
2004-01,1.487,
2004-04,1.196,
2004-07,0.741,
2004-10,0.919,
2005-01,0.910,
2005-04,0.819,
2005-07,0.842,
2005-10,0.874,
2006-01,0.867,
2006-04,0.883,
2006-07,0.991,
2006-10,1.029,
2007-01,1.114,
2007-04,1.155,
2007-07,1.365,
2007-10,1.622,
2008-01,1.737,
2008-04,1.953,
2008-07,2.276,
2008-10,2.199,
2009-01,1.846,
2009-04,1.706,
2009-07,1.229,
2009-10,0.878,
2010-01,0.638,
2010-04,0.573,
2010-07,0.479,
2010-10,0.422,
2011-01,0.472,
2011-04,0.465,
2011-07,0.408,
2011-10,0.476,
2012-01,0.547,
2012-04,0.532,
2012-07,0.513,
2012-10,0.412,
2013-01,0.323,
2013-04,0.290,
2013-07,0.266,
2013-10,0.245,
2014-01,0.265,
2014-04,0.263,
2014-07,0.234,
