"",BBK01.OEXB19I,BBK01.OEXB19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:15,
2002-01,0.995,
2002-04,1.069,
2002-07,1.127,
2002-10,1.057,
2003-01,1.053,
2003-04,1.440,
2003-07,0.822,
2003-10,0.823,
2004-01,0.782,
2004-04,0.819,
2004-07,0.824,
2004-10,0.813,
2005-01,0.980,
2005-04,0.971,
2005-07,1.067,
2005-10,1.098,
2006-01,1.117,
2006-04,1.150,
2006-07,1.165,
2006-10,1.242,
2007-01,1.223,
2007-04,1.255,
2007-07,1.267,
2007-10,1.266,
2008-01,1.276,
2008-04,1.292,
2008-07,1.312,
2008-10,1.496,
2009-01,1.510,
2009-04,1.524,
2009-07,1.510,
2009-10,1.644,
2010-01,1.640,
2010-04,1.655,
2010-07,1.550,
2010-10,1.504,
2011-01,1.490,
2011-04,1.492,
2011-07,1.504,
2011-10,1.174,
2012-01,1.168,
2012-04,1.119,
2012-07,1.072,
2012-10,1.040,
2013-01,1.008,
2013-04,1.005,
2013-07,1.027,
2013-10,1.024,
2014-01,1.024,
2014-04,0.882,
2014-07,0.890,
