"",BBK01.OEAE33O,BBK01.OEAE33O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:01,
2002-01,2.656,
2002-04,2.547,
2002-07,2.591,
2002-10,2.570,
2003-01,2.666,
2003-04,2.669,
2003-07,2.424,
2003-10,2.562,
2004-01,2.565,
2004-04,2.556,
2004-07,2.532,
2004-10,2.464,
2005-01,2.416,
2005-04,2.419,
2005-07,2.423,
2005-10,2.369,
2006-01,2.389,
2006-04,2.425,
2006-07,2.417,
2006-10,2.426,
2007-01,2.431,
2007-04,2.444,
2007-07,2.442,
2007-10,2.508,
2008-01,2.527,
2008-04,2.524,
2008-07,2.469,
2008-10,2.430,
2009-01,2.451,
2009-04,2.448,
2009-07,2.443,
2009-10,2.374,
2010-01,2.664,
2010-04,2.288,
2010-07,2.406,
2010-10,2.698,
2011-01,2.398,
2011-04,2.376,
2011-07,2.415,
2011-10,2.371,
2012-01,2.360,
2012-04,2.353,
2012-07,2.389,
2012-10,2.405,
2013-01,2.399,
2013-04,2.430,
2013-07,2.734,
2013-10,2.728,
2014-01,2.752,
2014-04,2.770,
2014-07,2.769,
